"UT","DI","AU","TI","PY","coder","sample_size_orig","sample_size_BA","sample_size_PhD","sample_size_final","matches_orig_BA","matches_orig_PhD","matches_BA_PhD","matches_all","irr_resolver","irr_resolver_comment"
"WOS:000333027900035","10.1073/pnas.1318570111","Watanabe, T; Takezawa, M; Nakawake, Y; Kunimatsu, A; Yamasue, H; Nakamura, M; Miyashita, Y; Masuda, N","Two distinct neural mechanisms underlying indirect reciprocity",2014,"GM",48,48,48,48,1,1,1,1,"PI",""
"WOS:000333627800016","10.1162/jocn_a_00553","Mason, M; Magee, JC; Fiske, ST","Neural Substrates of Social Status Inference: Roles of Medial Prefrontal Cortex and Superior Temporal Sulcus",2014,"GM",19,19,19,19,1,1,1,1,"PI",""
"WOS:000336191200006","10.1016/j.bandc.2014.03.001","Shi, YQ; Meindl, T; Szameitat, AJ; Muller, HJ; Schubert, T","Task preparation and neural activation in stimulus-specific brain regions: An fMRI study with the cued task-switching paradigm",2014,"EH",12,12,12,12,1,1,1,1,"PI",""
"WOS:000336435500010","10.1177/1948550612446661","Lelieveld, GJ; Moor, BG; Crone, EA; Karremans, JC; van Beest, I","A Penny for Your Pain? The Financial Compensation of Social Pain After Exclusion",2013,"RvB",30,30,30,30,1,1,1,1,"PI",""
"WOS:000336489000004","10.1093/scan/nst030","Moriguchi, Y; Touroutoglou, A; Dickerson, BC; Barrett, LF","Sex differences in the neural correlates of affective experience",2014,"EH",34,34,34,34,1,1,1,1,"PI",""
"WOS:000336489000019","10.1093/scan/nst035","Szpunar, KK; St Jacques, PL; Robbins, CA; Wig, GS; Schacter, DL","Repetition-related reductions in neural activity reveal component processes of mental simulation",2014,"JvB",23,46,46,23,0,0,1,0,"PI","46 participants over two conceptually different experiments. Study/experiment 1 has 23 participants."
"WOS:000337600700003","10.1080/17470919.2014.907201","Aharoni, E; Mallett, J; Vincent, GM; Harenski, CL; Calhoun, VD; Sinnott-Armstrong, W; Gazzaniga, MS; Kiehl, KA","Predictive accuracy in the neuroprediction of rearrest",2014,"GM",96,96,96,96,1,1,1,1,"PI",""
"WOS:000337777700008","10.1016/j.bandc.2014.04.012","Shin, YS; Kim, HY; Han, S","Neural correlates of social perception on response bias",2014,"RvB",16,15,15,15,0,0,1,0,"PI","n=16 participants tested, but 1 participant excluded due to signal artifacts."
"WOS:000338127200005","10.1093/ntr/ntu010","Xu, XM; Clark, US; David, SP; Mulligan, RC; Knopik, VS; McGeary, J; MacKillop, J; McCaffery, J; Niaura, RS; Sweet, LH","The Effects of Nicotine Deprivation and Replacement on BOLD-fMRI Response to Smoking Cues as a Function of DRD4 VNTR Genotype",2014,"RvB",19,19,19,19,1,1,1,1,"PI",""
"WOS:000339567000050","10.1002/hbm.22523","Huijbers, W; Pennartz, CMA; Beldzik, E; Domagalik, A; Vinck, M; Hofman, WF; Cabeza, R; Daselaar, SM","Respiration Phase-Locks to Fast Stimulus Presentations: Implications for the Interpretation of Posterior Midline \Deactivations\""""",2014,"GM",24,25,24,24,0,1,0,0,"PI","Participant section clearly states that 2/26 subjects were excluded from further analyses all together."
"WOS:000339860000001","10.1016/j.neuroimage.2014.05.071","Simon, D; Becker, MPI; Mothes-Lasch, M; Miltner, WHR; Straube, T","Effects of social context on feedback-related activity in the human ventral striatum",2014,"RvB",17,17,17,17,1,1,1,1,"PI",""
"WOS:000340068500002","10.1093/cercor/bht042","Hassabis, D; Spreng, RN; Rusu, AA; Robbins, CA; Mar, RA; Schacter, DL","Imagine All the People: How the Brain Creates and Uses Personality Models to Predict Behavior",2014,"TN",19,19,19,19,1,1,1,1,"PI",""
"WOS:000341017300012","10.1523/JNEUROSCI.5063-13.2014","Freeman, JB; Stolier, RM; Ingbretsen, ZA; Hehman, EA","Amygdala Responsivity to High-Level Social Information from Unseen Faces",2014,"TN",15,15,15,15,1,1,1,1,"PI",""
"WOS:000341125400022","10.1038/nn.3781","Treadway, MT; Buckholtz, JW; Martin, JW; Jan, K; Asplund, CL; Ginther, MR; Jones, OD; Marois, R","Corticolimbic gating of emotion-driven punishment",2014,"RvB",30,41,30,30,0,1,0,0,"PI","Not sure where BA got 41 from. N=30 after exclusions explicitly stated in methods section."
"WOS:000341231500103","10.1371/journal.pone.0106468","Ma, HF; Hu, JH; Xi, J; Shen, W; Ge, JQ; Geng, F; Wu, YT; Guo, JJ; Yao, DZ","Bilingual Cognitive Control in Language Switching: An fMRI Study of English-Chinese Late Bilinguals",2014,"RvB",22,22,22,22,1,1,1,1,"PI",""
"WOS:000341936600001","10.2147/NDT.S67805","Peng, DC; Dai, XJ; Gong, HH; Li, HJ; Nie, X; Zhang, W","Altered intrinsic regional brain activity in male patients with severe obstructive sleep apnea: a resting-state functional magnetic resonance imaging study",2014,"RvB",50,25,25,50,0,0,1,0,"PI","Not sure how coder BA and PhD arrived at n=25. The paper clearly states that two groups of 25 subjects were recruited, leaving a total n of 50."
"WOS:000342985600015","10.1093/scan/nst125","Ma, YN; Wang, CB; Li, BF; Zhang, WX; Rao, Y; Han, SH","Does self-construal predict activity in the social brain network? A genetic moderation effect",2014,"TN",34,34,34,34,1,1,1,1,"PI",""
"WOS:000342986700024","10.1093/scan/nst154","Stern, ER; Gonzalez, R; Welsh, RC; Taylor, SF","Medial frontal cortex and anterior insula are less sensitive to outcome predictability when monetary stakes are higher",2014,"EJ",16,17,17,17,0,0,1,0,"PI","Some but not all fMRI data from 2/17 subjects were lost. I.e. they should still be counted towards the sample size as per the coding instructions."
"WOS:000343407500021","10.1093/cercor/bht102","Cooper, JC; Dunne, S; Furey, T; O'Doherty, JP","The Role of the Posterior Temporal and Medial Prefrontal Cortices in Mediating Learning from Romantic Interest and Rejection",2014,"GM",38,38,38,38,1,1,1,1,"PI",""
"WOS:000344398900025","10.1002/hbm.22605","Scheele, D; Striepens, N; Kendrick, KM; Schwering, C; Noelle, J; Wille, A; Schlapfer, TE; Maier, W; Hurlemann, R","Opposing Effects of Oxytocin on Moral judgment in Males and Females",2014,"EJ",144,134,134,134,0,0,1,0,"PI","Seems like original coder made a simple typo or calculation error."
"WOS:000345616600001","10.1162/jocn_a_00700","Welborn, BL; Lieberman, MD","Person-specific Theory of Mind in Medial pFC",2015,"RvB",16,16,16,16,1,1,1,1,"PI",""
"WOS:000345624800001","10.1038/ncomms6380","Woo, CW; Koban, L; Kross, E; Lindquist, MA; Banich, MT; Ruzic, L; Andrews-Hanna, JR; Wager, TD","Separate neural representations for physical pain and social rejection",2014,"RvB",91,91,91,91,1,1,1,1,"PI",""
"WOS:000347766700009","10.1016/j.jneuroling.2014.09.002","Feng, SW; Legault, J; Yang, L; Zhu, JW; Shao, KQ; Yang, YM","Differences in grammatical processing strategies for active and passive sentences: An fMRI study",2015,"EJ",18,18,18,18,1,1,1,1,"PI",""
"WOS:000348378800011","10.1002/hbm.22646","Bray, S; Arnold, AEGF; Levy, RM; Iaria, G","Spatial and Temporal Functional Connectivity Changes Between Resting and Attentive States",2015,"EH",16,16,16,16,1,1,1,1,"PI",""
"WOS:000348792000001","10.1080/03637751.2014.990472","O'Donnell, MB; Falk, EB; Lieberman, MD","Social in, Social out: How the Brain Responds to Social Language with More Social Language",2015,"RvB",19,19,19,19,1,1,1,1,"PI",""
"WOS:000348928300001","10.1080/17470919.2014.978026","Plitt, M; Savjani, RR; Eagleman, DM","Are corporations people too? The neural correlates of moral judgments about companies and individuals",2015,"TN",30,30,30,30,1,1,1,1,"PI",""
"WOS:000349702400001","10.1186/s12993-014-0046-4","Jiang, WX; Liu, HS; Zeng, LL; Liao, J; Shen, H; Luo, AJ; Hu, DW; Wang, W","Decoding the processing of lying using functional connectivity MRI",2015,"TN",32,32,32,32,1,1,1,1,"PI",""
"WOS:000350105900002","10.1093/scan/nst187","Wu, Y; Yu, HB; Shen, B; Yu, RJ; Zhou, ZH; Zhang, GP; Jiang, YS; Zhou, XL","Neural basis of increased costly norm enforcement under adversity",2014,"EJ",18,18,18,18,1,1,1,1,"PI",""
"WOS:000350105900019","10.1093/scan/nsu005","Smith, DV; Clithero, JA; Boltuck, SE; Huettel, SA","Functional connectivity with ventromedial prefrontal cortex reflects subjective value for social rewards",2014,"EJ",16,16,16,16,1,1,1,1,"PI",""
"WOS:000350740900035","10.1523/JNEUROSCI.4182-14.2015","Kahnt, T; Weber, SC; Haker, H; Robbins, TW; Tobler, PN","Dopamine D2-Receptor Blockade Enhances Decoding of Prefrontal Signals in Humans",2015,"TN",51,51,51,51,1,1,1,1,"PI",""
"WOS:000351248400003","10.1016/j.cortex.2014.09.019","Tu, L; Wang, JJ; Abutalebi, J; Jiang, B; Pan, XM; Li, M; Gao, W; Yang, YC; Liang, BS; Lu, Z; Huang, RW","Language exposure induced neuroplasticity in the bilingual brain: A follow-up fMRI study",2015,"JvB",10,27,10,10,0,1,0,0,"PI","only 10 subjects were included in the analyses in the end according to the paper. Again, here is a case where PI was involved both in deciding the originally coded sample size, and double coding it. "
"WOS:000351526400011","10.1093/scan/nsu064","Telzer, EH; Fuligni, AJ; Lieberman, MD; Miernicki, ME; Galvan, A","The quality of adolescents' peer relationships modulates neural sensitivity to risk taking",2015,"JvB",46,46,46,46,1,1,1,1,"PI",""
"WOS:000351526400012","10.1093/scan/nsu067","Aube, W; Angulo-Perkins, A; Peretz, I; Concha, L; Armony, JL","Fear across the senses: brain responses to music, vocalizations and facial expressions",2015,"JvB",47,47,47,47,1,1,1,1,"PI",""
"WOS:000354111600004","10.1162/jocn_a_00785","Spunt, RP; Meyer, ML; Lieberman, MD","The Default Mode of Human Brain Function Primes the Intentional Stance",2015,"JvB",21,21,21,21,1,1,1,1,"PI",""
"WOS:000355002900003","10.1016/j.neuroimage.2015.03.075","Mei, LL; Xue, G; Lu, ZL; He, QH; Wei, M; Zhang, MX; Dong, Q; Chen, CS","Native language experience shapes neural basis of addressed and assembled phonologies",2015,"EJ",85,85,85,85,1,1,1,1,"PI",""
"WOS:000356272800006","10.1093/scan/nsu123","Wang, TT; Mo, L; Mo, C; Tan, LH; Cant, JS; Zhong, LJ; Cupchik, G","Is moral beauty different from facial beauty? Evidence from an fMRI study",2015,"TN",28,28,28,28,1,1,1,1,"PI",""
"WOS:000358252000018","10.1523/JNEUROSCI.0551-15.2015","Igelstrom, KM; Webb, TW; Graziano, MSA","Neural Processes in the Human Temporoparietal Cortex Separated by Localized Independent Component Analysis",2015,"GM",1019,19,73,73,0,0,0,0,"PI","Slightly confusing sample size reporting since one study used four datasets. Sample size should be sum of n from study A, B and C in table 1 (73). Original coder likely wrong by assuming that all connectome data were used. Coder BA likely wrong in assuming only on-site data should count towards the sample size. Also case where PI might have been both original and PhD coder."
"WOS:000358574300001","10.2147/DDDT.S81004","Pickering, G; Kastler, A; Macian, N; Pereira, B; Valabregue, R; Lehericy, S; Boyer, L; Dubray, C; Jean, B","The brain signature of paracetamol in healthy volunteers: a double-blind randomized trial",2015,"RvB",17,17,17,17,1,1,1,1,"PI",""
"WOS:000359177800006","10.1016/j.bandc.2015.05.006","Bereczkei, T; Papp, P; Kincses, P; Bodrogi, B; Perlaki, G; Orsi, G; Deak, A","The neural basis of the Machiavellians' decision making in fair and unfair situations",2015,"RvB",38,38,38,38,1,1,1,1,"PI",""
"WOS:000359649500003","10.1007/s00221-015-4322-9","Bonenberger, M; Plener, PL; Groschwitz, RC; Gron, G; Abler, B","Polymorphism in the A mu-opioid receptor gene (OPRM1) modulates neural processing of physical pain, social rejection and error processing",2015,"GM",31,31,31,31,1,1,1,1,"PI",""
"WOS:000360263400001","10.3389/fnhum.2015.00412","Guterstam, A; Bjornsdotter, M; Bergouignan, L; Gentile, G; Li, TQ; Ehrsson, HH","Decoding illusory self-location from activity in the human hippocampus",2015,"JvB",6,6,6,6,1,1,1,1,"PI",""
"WOS:000360592900028","10.1016/j.bbi.2014.10.006","Inagaki, TK; Muscatell, KA; Irwin, MR; Moieni, M; Dutcher, JM; Jevtic, I; Breen, EC; Eisenberger, NL","The role of the ventral striatum in inflammatory-induced approach toward support figures",2015,"RvB",52,63,63,63,0,0,1,0,"PI","Original coder seems to have coded number of subjects excluded instead of number of subjects remaining."
"WOS:000360949300005","10.1016/j.cortex.2015.03.007","Rauchbauer, B; Majdandzic, J; Hummer, A; Windischberger, C; Lamm, C","Distinct neural processes are engaged in the modulation of mimicry by social group-membership and emotional expressions",2015,"GM",41,41,41,41,1,1,1,1,"PI",""
"WOS:000360949300007","10.1016/j.cortex.2015.01.021","Lamm, C; Silani, G; Singer, T","Distinct neural networks underlying empathy for pleasant and unpleasant touch",2015,"RvB",32,32,32,32,1,1,1,1,"PI",""
"WOS:000361145000014","10.1016/j.neuron.2015.07.005","Maier, SU; Makwana, AB; Hare, TA","Acute Stress Impairs Self-Control in Goal-Directed Choice by Altering Multiple Functional Connections within the Brain's Decision Circuits",2015,"RvB",50,51,51,50,0,0,1,0,"PI","See comment by original resolver. This might also be a case where PI coded both the original and the PhD sample size."
"WOS:000361464000025","10.1093/cercor/bhu061","Lucas, MV; Anderson, LC; Bolling, DZ; Pelphrey, KA; Kaiser, MD","Dissociating the Neural Correlates of Experiencing and Imagining Affective Touch",2015,"TN",14,14,14,14,1,1,1,1,"PI",""
"WOS:000361851200003","10.1016/j.jneuroling.2015.05.001","Wei, M; Joshi, AA; Zhang, MX; Mei, LL; Manis, FR; He, QH; Beattie, RL; Xue, G; Shattuck, DW; Leahy, RM; Xue, F; Houston, SM; Chen, CS; Dong, Q; Lu, ZL","How age of acquisition influences brain architecture in bilinguals",2015,"RvB",36,36,36,36,1,1,1,1,"PI",""
"WOS:000362025000036","10.1016/j.neuroimage.2015.07.003","Gilam, G; Lin, T; Raz, G; Azrielant, S; Fruchter, E; Ariely, D; Hendler, T","Neural substrates underlying the tendency to accept anger-infused ultimatum offers during dynamic social interactions",2015,"RvB",60,60,60,60,1,1,1,1,"PI",""
"WOS:000362134200008","10.1016/j.neuropsychologia.2015.03.030","Basnakova, J; van Berkum, J; Weber, K; Hagoort, P","A job interview in the MRI scanner: How does indirectness affect addressees and overhearers?",2015,"TN",20,20,20,20,1,1,1,1,"PI",""
"WOS:000365541400005","10.1093/scan/nsv005","Wang, CB; Wu, B; Liu, Y; Wu, XH; Han, SH","Challenging emotional prejudice by changing self-concept: priming independent self-construal reduces racial in-group bias in neural responses to other's pain",2015,"EJ",30,30,30,30,1,1,1,1,"PI",""
"WOS:000365541400013","10.1093/scan/nsv013","Touroutoglou, A; Lindquist, KA; Dickerson, BC; Barrett, LF","Intrinsic connectivity in the human brain does not reveal networks for 'basic' emotions",2015,"TN",89,89,389,389,1,0,0,0,"PI","It seems original coder and coder BA only coded the sample size of sample 1, but the paper combines fMRI data from both sample 1 and 2."
"WOS:000365750400003","10.1162/jocn_a_00872","Cardin, V; Orfanidou, E; Kastner, L; Ronnberg, J; Woll, B; Capek, CM; Rudner, M","Monitoring Different Phonological Parameters of Sign Language Engages the Same Cortical Language Network but Distinctive Perceptual Ones",2016,"EJ",43,43,43,43,1,1,1,1,"PI",""
"WOS:000366463300019","10.1093/cercor/bhu146","Jack, A; Pelphrey, KA","Neural Correlates of Animacy Attribution Include Neocerebellum in Healthy Adults",2015,"EJ",34,34,34,34,1,1,1,1,"PI",""
"WOS:000366646700096","10.1016/j.neuroimage.2015.09.038","Sobczak-Edmans, M; Ng, THB; Chan, YC; Chew, E; Chuang, KH; Chen, SHA","Temporal dynamics of visual working memory",2016,"JvB",40,40,40,40,1,1,1,1,"PI",""
"WOS:000366801300001","10.3389/fnhum.2015.00664","Beldzik, E; Domagalik, A; Oginska, H; Marek, T; Fafrowicz, M","Brain Activations Related to Saccadic Response Conflict are not Sensitive to Time on Task",2015,"JvB",23,23,23,23,1,1,1,1,"PI",""
"WOS:000367481900026","10.1371/journal.pone.0144963","Chen, B; Xu, T; Zhou, CL; Wang, LY; Yang, N; Wang, Z; Dong, HM; Yang, Z; Zang, YF; Zuo, XN; Weng, XC","Individual Variability and Test-Retest Reliability Revealed by Ten Repeated Resting-State Brain Scans over One Month",2015,"TN",30,30,30,30,1,1,1,1,"PI",""
"WOS:000368979900001","10.3389/fnhum.2015.00718","Dominguez, JF; Taing, SA; Molenberghs, P","Why Do Some Find it Hard to Disagree? An fMRI Study",2016,"GM",39,39,39,39,1,1,1,1,"PI",""
"WOS:000369150500001","10.1002/hbm.22905","Stephanou, K; Davey, CG; Kerestes, R; Whittle, S; Pujol, J; Yucel, M; Fornito, A; Lopez-Sola, M; Harrison, BJ","Brain Functional Correlates of Emotion Regulation Across Adolescence and Young Adulthood",2016,"JvB",78,78,78,78,1,1,1,1,"PI",""
"WOS:000369415600001","10.3389/fnhum.2016.00028","Suzuki, A; Ito, Y; Kiyama, S; Kunimi, M; Ohira, H; Kawaguchi, J; Tanabe, HC; Nakai, T","Involvement of the Ventrolateral Prefrontal Cortex in Learning Others' Bad Reputations and Indelible Distrust",2016,"TN",28,28,28,28,1,1,1,1,"PI",""
"WOS:000370459400025","10.1016/j.neuropsychologia.2015.12.025","Mathur, VA; Cheon, BK; Harada, T; Scimeca, JM; Chiao, JY","Overlapping neural response to the pain or harm of people, animals, and nature",2016,"JvB",15,15,15,15,1,1,1,1,"PI",""
"WOS:000370547000003","10.1080/17470919.2015.1044672","Seara-Cardoso, A; Sebastian, CL; Viding, E; Roiser, JP","Affective resonance in response to others' emotional faces varies with affective ratings and psychopathic traits in amygdala and anterior insula",2016,"TN",30,30,30,30,1,1,1,1,"PI",""
"WOS:000370568600006","10.1037/a0040032","Reason, M; Jola, C; Kay, R; Reynolds, D; Kauppi, JP; Grobras, MH; Tohka, J; Pollick, FE","Spectators' Aesthetic Experience of Sound and Movement in Dance Performance: A Transdisciplinary Investigation",2016,"JvB",22,15,15,22,0,0,1,0,"PI","I suspect that the PhD (PI) added the original sample size after resolving a comment from JvB. Thus, in this case, PI failed to replicate their own coded sample size and number of unique raters does not equal 3. "
"WOS:000370623400003","10.1037/xge0000121","Yanagisawa, K; Abe, N; Kashima, ES; Nomura, M","Self-Esteem Modulates Amygdala-Ventrolateral Prefrontal Cortex Connectivity in Response to Mortality Threats",2016,"EH",60,60,60,60,1,1,1,1,"PI",""
"WOS:000370972500039","10.1093/cercor/bhv262","Orgs, G; Dovern, A; Hagura, N; Haggard, P; Fink, GR; Weiss, PH","Constructing Visual Perception of Body Movement with the Motor Cortex",2016,"EJ",24,24,24,24,1,1,1,1,"PI",""
"WOS:000371187600006","10.1016/j.ijpsycho.2015.09.007","Yang, TL; Lei, X; Anderson, M","Decreased inhibitory control of negative information in directed forgetting",2016,"EJ",21,21,21,21,1,1,1,1,"PI",""
"WOS:000371340800002","10.1037/npe0000050","Macoveanu, J; Ramsoy, TZ; Skov, M; Siebner, HR; Fosgaard, TR","The Neural Bases of Framing Effects in Social Dilemmas",2016,"JvB",14,14,14,14,1,1,1,1,"PI",""
"WOS:000371942800004","10.1016/j.neures.2015.07.010","Kawasaki, I; Ito, A; Fujii, T; Ueno, A; Yoshida, K; Sakai, S; Mugikura, S; Takahashi, S; Mori, E","Differential activation of the ventromedial prefrontal cortex between male and female givers of social reputation",2016,"EJ",28,28,28,28,1,1,1,1,"PI",""
"WOS:000372514000001","10.1038/srep23427","Yang, ZT; Zhen, ZL; Huang, LJ; Kong, XZ; Wang, X; Song, YY; Liu, J","Neural Univariate Activity and Multivariate Pattern in the Posterior Superior Temporal Sulcus Differentially Encode Facial Expression and Identity",2016,"GM",202,191,191,191,0,0,1,0,"PI","n=202 subjects tested, but only 191 were included in the analyses in the end."
"WOS:000373485000001","10.1080/17470919.2015.1059362","Dong, SY; Kim, BK; Lee, SY","Implicit agreeing/disagreeing intention while reading self-relevant sentences: A human fMRI study",2016,"JvB",19,19,19,19,1,1,1,1,"PI",""
"WOS:000373801400007","10.1007/s00429-014-0972-9","Lynn, MT; Demanet, J; Krebs, RM; Van Dessel, P; Brass, M","Voluntary inhibition of pain avoidance behavior: an fMRI study",2016,"GM",21,21,21,21,1,1,1,1,"PI",""
"WOS:000374227100001","10.1093/scan/nsv120","Cracco, E; Desmet, C; Brass, M","When your error becomes my error: anterior insula activation in response to observed errors is modulated by agency",2016,"GM",19,19,19,19,1,1,1,1,"PI",""
"WOS:000374227100013","10.1093/scan/nsv131","Chakroff, A; Dungan, J; Koster-Hale, J; Brown, A; Saxe, R; Young, L","When minds matter for moral judgment: intent information is neurally encoded for harmful but not impure acts",2016,"JvB",23,23,23,23,1,1,1,1,"PI",""
"WOS:000374543600007","10.1371/journal.pone.0152000","Emmerling, F; Schuhmann, T; Lobbestael, J; Arntz, A; Brugman, S; Sack, AT","The Role of the Insular Cortex in Retaliation",2016,"GM",15,15,15,15,1,1,1,1,"PI",""
"WOS:000375476800014","10.1080/17588928.2015.1053442","Bockler, A; Eskenazi, T; Sebanz, N; Rueschemeyer, SA","(How) observed eye-contact modulates gaze following. An fMRI study",2016,"JvB",21,21,21,21,1,1,1,1,"PI",""
"WOS:000376546400022","10.1016/j.neuropsychologia.2016.03.031","Habes, I; Rushton, S; Johnston, SJ; Sokunbi, MO; Barawi, K; Brosnan, M; Daly, T; Ihssen, N; Linden, DEJ","fMRI neurofeedback of higher visual areas and perceptual biases",2016,"EJ",17,17,9,9,1,0,0,0,"PI","8/17 participants (the IM group) was put in a mock scanner, and did not contribute fMRI data. This is confirmed by the relevant t-test degrees of freedom."
"WOS:000376655100009","10.1093/scan/nsw003","Davis, FC; Neta, M; Kim, MJ; Moran, JM; Whalen, PJ","Interpreting ambiguous social cues in unpredictable contexts",2016,"TN",22,22,22,22,1,1,1,1,"PI",""
"WOS:000378969800002","10.1016/j.physbeh.2016.03.007","Fearnbach, SN; English, LK; Lasschuijt, M; Wilson, SJ; Savage, JS; Fisher, JO; Rolls, BJ; Keller, KL","Brain response to images of food varying in energy density is associated with body composition in 7-to 10-year-old children: Results of an exploratory study",2016,"EJ",36,36,36,36,1,1,1,1,"PI",""
"WOS:000380847600008","10.1016/j.dcn.2016.06.003","Shing, YL; Brehmer, Y; Heekeren, HR; Backman, L; Lindenberger, U","Neural activation patterns of successful episodic encoding: Reorganization during childhood, maintenance in old age",2016,"EJ",18,89,89,89,0,0,1,0,"PI","Not sure where original coder got n=18 from. The paper explicitly states that 89 subjects were used for analyses, which is confirmed by the F test degrees of freedom."
"WOS:000381270200004","10.1037/npe0000054","Pinazo, D; Barros-Loscertales, A; Peris, R; Ventura-Campos, N; Avila, C","Neuroticism Predisposes to Donation More Than Agreeableness: An fMRI Study",2016,"JvB",18,18,18,18,1,1,1,1,"PI",""
"WOS:000381369500024","10.1371/journal.pone.0160214","Mayhugh, RE; Moussa, MN; Simpson, SL; Lyday, RG; Burdette, JH; Porrino, LJ; Laurienti, PJ","Moderate-Heavy Alcohol Consumption Lifestyle in Older Adults Is Associated with Altered Central Executive Network Community Structure during Cognitive Task",2016,"EJ",63,63,63,63,1,1,1,1,"PI",""
"WOS:000381399200048","10.1073/pnas.1519853113","Tong, LCP; Ye, KJ; Asai, K; Ertac, S; List, JA; Nusbaum, HC; Hortacsu, A","Trading experience modulates anterior insula to reduce the endowment effect",2016,"GM",30,30,30,30,1,1,1,1,"PI",""
"WOS:000381523000003","10.1162/jocn_a_00978","Zaki, J; Kallman, S; Wimmer, GE; Ochsner, K; Shohamy, D","Social Cognition as Reinforcement Learning: Feedback Modulates Emotion Inference",2016,"JvB",18,18,18,18,1,1,1,1,"PI",""
"WOS:000382214600006","10.1080/17470919.2015.1108931","Han, MF; Bi, CZ; Ybarra, O","Common and distinct neural mechanisms of the fundamental dimensions of social cognition",2016,"JvB",42,42,42,42,1,1,1,1,"PI",""
"WOS:000383306200004","10.1016/j.bbi.2016.03.022","Muscatell, KA; Moieni, M; Inagaki, TK; Dutcher, JM; Jevtic, I; Breen, EC; Irwin, MR; Eisenberger, NI","Exposure to an inflammatory challenge enhances neural sensitivity to negative and positive social feedback",2016,"TN",104,104,107,107,1,0,0,0,"PI","It seems like the original coder and BA coder have coded the number of subjects with all data available. However, the coding instructions state that all participants with fMRI data available should be coded, even if other types of data might be missing. "
"WOS:000383727000002","10.1093/scan/nsw036","Paschke, LM; Dorfel, D; Steimke, R; Trempler, I; Magrabi, A; Ludwig, VU; Schubert, T; Stelzel, C; Walter, H","Individual differences in self-reported self-control predict successful emotion regulation",2016,"TN",108,108,108,108,1,1,1,1,"PI",""
"WOS:000384006300015","10.1523/JNEUROSCI.4499-15.2016","Ginther, MR; Bonnie, RJ; Hoffman, MB; Shen, FX; Simons, KW; Jones, OD; Marois, R","Parsing the Behavioral and Brain Mechanisms of Third-Party Punishment",2016,"EJ",23,23,23,23,1,1,1,1,"PI",""
"WOS:000384790700013","10.1016/j.neuropsychologia.2016.06.023","Barnacle, GE; Montaldi, D; Talmi, D; Sommer, T","The list-composition effect in memory for emotional and neutral pictures: Differential contribution of ventral and dorsal attention networks to successful encoding",2016,"RvB",22,22,22,22,1,1,1,1,"PI",""
"WOS:000385892800001","10.3389/fnhum.2076.00578","Mitchell, RLC; Jazdzyk, A; Stets, M; Kotz, SA","Recruitment of Language-, Emotion- and Speech-Timing Associated Brain Regions for Expressing Emotional Prosody: Investigation of Functional Neuroanatomy with fMRI",2016,"JvB",27,27,27,27,1,1,1,1,"PI",""
"WOS:000387512000001","10.3389/fpsyg.2016.01716","Zhang, HJ; Mo, L","Mentalizing and Information Propagation through Social Network: Evidence from a Resting-State-fMRI Study",2016,"EJ",28,28,28,28,1,1,1,1,"PI",""
"WOS:000388365000006","10.1523/JNEUROSCI.4033-14.2016","Cukur, T; Huth, AG; Nishimoto, S; Gallant, JL","Functional Subdomains within Scene-Selective Cortex: Parahippocampal Place Area, Retrosplenial Complex, and Occipital Place Area",2016,"JvB",60,6,6,6,0,0,1,0,"PI","Original coder seem to have made a typo. "
"WOS:000390510700011","10.1016/j.cortex.2016.10.013","Pannese, A; Grandjean, D; Fruhholz, S","Amygdala and auditory cortex exhibit distinct sensitivity to relevant acoustic features of auditory emotions",2016,"TN",22,22,22,22,1,1,1,1,"PI",""
"WOS:000390982800020","10.1016/j.neuroimage.2016.08.046","Van Overwalle, F; Heleven, E; Ma, N; Marien, P","Tell me twice: A multi-study analysis of the functional connectivity between the cerebrum and cerebellum after repeated trait information",2017,"JvB",17,17,142,17,1,0,0,0,"PI","PhD coder mistakenly coded total sample size over all studies, not the sample size of study 2."
"WOS:000391563700001","10.1038/srep40180","Clemens, B; Wagels, L; Bauchmuller, M; Bergs, R; Habel, U; Kohn, N","Alerted default mode: functional connectivity changes in the aftermath of social stress",2017,"JvB",89,89,89,89,1,1,1,1,"PI",""
"WOS:000393136700001","10.1038/srep41374","Liu, ZY; Li, L; Zheng, L; Xu, M; Zhou, FA; Guo, XY","Attentional deployment impacts neural response to regret",2017,"TN",18,18,18,18,1,1,1,1,"PI",""
"WOS:000393723600011","10.1016/j.psyneuen.2016.10.021","Cohen, D; Perry, A; Gilam, G; Mayseless, N; Gonen, T; Hendler, T; Shamay-Tsoory, SG","The role of oxytocin in modulating interpersonal space: A pharmacological fMRI study",2017,"JvB",19,19,19,19,1,1,1,1,"PI",""
"WOS:000397312200010","10.1093/scan/nsw113","Vezich, IS; Katzman, PL; Ames, DL; Falk, EB; Lieberman, MD","Modulating the neural bases of persuasion: why/how, gain/loss, and users/non-users",2017,"EJ",36,37,37,37,0,0,1,0,"PI","1/37 subjects was excluded from one particular ROI analysis, but this is not sufficient to be considered excluded in general."
"WOS:000397403300001","10.1002/hipo.22688","Berens, SC; Bird, CM","The Role of the Hippocampus in Generalizing Configural Relationships",2017,"GM",15,15,15,15,1,1,1,1,"PI",""
