AU	TI	PY	DI	UT	exclusion_flagged	study_number	sample_size	coder	coder_comment	resolver	resolver_comment	excluded
"Lee, RF; Dai, W; Jones, J"	Decoupled circular-polarized dual-head volume coil pair for studying two interacting human brains with dyadic fMRI	2012	10.1002/mrm.23313	WOS:000309203500010		1	2	RvB	not social	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Marchant, JL; Ruff, CC; Driver, J"	Audiovisual synchrony enhances BOLD responses in a brain network including multisensory STS while also enhancing target-detection performance for both modalities	2012	10.1002/hbm.21278	WOS:000302533100015		1	16	RvB	not social	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Kasess, CH; Stephan, KE; Weissenbacher, A; Pezawas, L; Moser, E; Windischberger, C"	Multi-subject analyses with dynamic causal modeling	2010	10.1016/j.neuroimage.2009.11.037	WOS:000274064500019	yes			RvB	Methodological	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Dennis, NA; Turney, IC"	The influence of perceptual similarity and individual differences on false memories in aging	2018	10.1016/j.neurobiolaging.2017.10.020	WOS:000418478600020		1	25	RvB	Not social not FMRI	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Pinazo, D; Barros-Loscertales, A; Peris, R; Ventura-Campos, N; Avila, C"	Neuroticism Predisposes to Donation More Than Agreeableness: An fMRI Study	2016	10.1037/npe0000054	WOS:000381270200004		1	18	RvB	"Not social, no fmri"	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Anderson, BA"	Reward processing in the value-driven attention network: reward signals tracking cue identity and location	2017	10.1093/scan/nsw141	WOS:000404547900011		1	22	RvB	Not social/not very emperical	AV	"leave in (many things are not social as in between people, but psychological non the less)"	
"Albouy, G; King, BR; Schmidt, C; Desseilles, M; Dang-Vu, TT; Balteau, E; Phillips, C; Degueldre, C; Orban, P; Benali, H; Peigneux, P; Luxen, A; Karni, A; Doyon, J; Maquet, P; Korman, M"	Cerebral Activity Associated with Transient Sleep-Facilitated Reduction in Motor Memory Vulnerability to Interference	2016	10.1038/srep34948	WOS:000385061500001		1	49	RvB	not social: motor memory	AV	"leave in, effect of sleep on task"	
"Zou, LJ; Packard, JL; Xia, ZC; Liu, YY; Shu, H"	Neural Correlates of Morphological Processing: Evidence from Chinese	2016	10.3339/fnhum.2015.00714	WOS:000368427400002		1	17	RvB	Not social	AV	"linguistic, but could still be included."	
"Dimoka, A"	Brain mapping of psychological processes with psychometric scales: An fMRI method for social neuroscience	2011	10.1016/j.neuroimage.2010.05.007	WOS:000294408600032		1	15	RvB	not social: methodological	AV	"participants answer questions (about trust) in scanner, leave in"	
"Dimoka, A"	Brain mapping of psychological processes with psychometric scales: An fMRI method for social neuroscience	2011	10.1016/j.neuroimage.2010.05.007	WOS:000294408600032		2	15	RvB	not social: methodological	AV	"participants answer questions (about trust) in scanner, leave in"	
"Yankouskaya, A; Humphreys, G; Stolte, M; Stokes, M; Moradi, Z; Sui, J"	An anterior-posterior axis within the ventromedial prefrontal cortex separates self and reward	2017	10.1093/scan/nsx112	WOS:000419578300003		1	16	RvB	Not social	AV	"self also studied within social, leave in"	
"Reicherts, P; Wiemer, J; Gerdes, ABM; Schulz, SM; Pauli, P; Wieser, MJ"	Anxious anticipation and pain: the influence of instructed vs conditioned threat on pain	2017	10.1093/scan/nsw181	WOS:000404548900004		1	45	RvB	Not social	AV	"something studied in social (theat and pain), leave in"	
"Schuyler, BS; Kral, TRA; Jacquart, J; Burghy, CA; Weng, HY; Perlman, DM; Bachhuber, DRW; Rosenkranz, MA; MacCoon, DG; van Reekum, CM; Lutz, A; Davidson, RJ"	Temporal dynamics of emotional responding: amygdala recovery predicts emotional traits	2014	10.1093/scan/nss131	WOS:000336488000006		1	120	RvB	Emotional	AV	leave in	
"Fang, ZY; Li, H; Chen, G; Yang, JJ"	Unconscious Processing of Negative Animals and Objects: Role of the Amygdala Revealed by fMRI	2016	10.3389/fnhum.2016.00146	WOS:000373338500001	Yes	1	62	RvB	emotional rrating	AV	Exclude	
"Fang, ZY; Li, H; Chen, G; Yang, JJ"	Unconscious Processing of Negative Animals and Objects: Role of the Amygdala Revealed by fMRI	2016	10.3389/fnhum.2016.00146	WOS:000373338500001		2	23	RvB	familarity rating	AV	leave in	
"Sebastian, CL; McCrory, EJ; De Brito, SA; Viding, E"	Modulation of amygdala response to task-irrelevant emotion	2017	10.1093/scan/nsw174	WOS:000404548900012		1	20	RvB	health behaviour	AV	leave in	
"Kim, YT; Lee, JJ; Song, HJ; Kim, JH; Kwon, DH; Kim, MN; Yoo, DS; Lee, HJ; Kim, HJ; Chang, Y"	Alterations in cortical activity of male methamphetamine abusers performing an empathy task: fMRI study	2010	10.1002/hup.1083	WOS:000274802100007		1	38	RvB	involves patients	AV	leave in 	
"Papini, C; White, TP; Montagna, A; Brittain, PJ; Froudist-Walsh, S; Kroll, J; Karolis, V; Simonelli, A; Williams, SC; Murray, RM; Nosarti, C"	Altered resting-state functional connectivity in emotion-processing brain regions in adults who were born very preterm	2016	10.1017/S0033291716001604	WOS:000386639700013		1	74	RvB	involves patients	AV	leave in	
"Roberts, RE; Ahmad, H; Patel, M; Dima, D; Ibitoye, R; Sharif, M; Leech, R; Arshad, Q; Bronstein, AM"	An fMRI study of visuo-vestibular interactions following vestibular neuritis	2018	10.1016/j.nicl.2018.10.007	WOS:000450799000108		1	17	RvB	involves patients	AV	exclude	
"Davis, MH; Di Betta, AM; Macdonald, MJE; Gaskell, MG"	Learning and Consolidation of Novel Spoken Words	2009	10.1162/jocn.2009.21059	WOS:000264359700015		1	57	RvB	Is a linguistic research?	AV	leave in	
"Chib, VS; De Martino, B; Shimojo, S; O'Doherty, JP"	Neural Mechanisms Underlying Paradoxical Performance for Monetary Incentives Are Driven by Loss Aversion	2012	10.1016/j.neuron.2012.02.038	WOS:000303971400017		1	18	RvB	motor task	AV	leave in	
"Chib, VS; De Martino, B; Shimojo, S; O'Doherty, JP"	Neural Mechanisms Underlying Paradoxical Performance for Monetary Incentives Are Driven by Loss Aversion	2012	10.1016/j.neuron.2012.02.038	WOS:000303971400017		2	12	RvB	motor task	AV	leave in	
"Santangelo, V; Cavallina, C; Colucci, P; Santori, A; Macri, S; McGaugh, JL; Campolongo, P"	Enhanced brain activity associated with memory access in highly superior autobiographical memory	2018	10.1073/pnas.1802730115	WOS:000439574700062		1	29	RvB	not normal sample (rare individuals with exceptional memory)	AV	leave in	
"Ma, HF; Hu, JH; Xi, J; Shen, W; Ge, JQ; Geng, F; Wu, YT; Guo, JJ; Yao, DZ"	Bilingual Cognitive Control in Language Switching: An fMRI Study of English-Chinese Late Bilinguals	2014	10.1371/journal.pone.0106468	WOS:000341231500103		1	22	RvB	"opinion paper, not social: auditory"	AV	"leave in, I don't see that it is an opinion paper as coder EJ says"	
"Geurts, DEM; Von Borries, K; Volman, I; Bulten, BH; Cools, R; Verkes, RJ"	Neural connectivity during reward expectation dissociates psychopathic criminals from non-criminal individuals with high impulsive/antisocial psychopathic traits	2016	10.1093/scan/nsw040	WOS:000383727000016		1	34	RvB	psychopathic criminal patients	AV	leave in	
"Rutgen, M; Seidel, EM; Silani, G; Riecansky, I; Hummer, A; Windischberger, C; Petrovic, P; Lamm, C"	Placebo analgesia and its opioidergic regulation suggest that empathy for pain is grounded in self pain	2015	10.1073/pnas.1511269112	WOS:000363130900012		1	102	RvB	Psychopharmacological experiment	AV	leave in	
"Rutgen, M; Seidel, EM; Silani, G; Riecansky, I; Hummer, A; Windischberger, C; Petrovic, P; Lamm, C"	Placebo analgesia and its opioidergic regulation suggest that empathy for pain is grounded in self pain	2015	10.1073/pnas.1511269112	WOS:000363130900012		2	50	RvB	Psychopharmacological experiment	AV	leave in	
"Petrini, K; Pollick, FE; Dahl, S; McAleer, P; McKay, L; Rocchesso, D; Waadeland, CH; Love, S; Avanzini, F; Puce, A"	Action expertise reduces brain activity for audiovisual matching actions: An fMRI study with expert drummers	2011	10.1016/j.neuroimage.2011.03.009	WOS:000290649300060		1	22	RvB	research done on expert drummer; not social	AV	leave in	
"Petrini, K; Pollick, FE; Dahl, S; McAleer, P; McKay, L; Rocchesso, D; Waadeland, CH; Love, S; Avanzini, F; Puce, A"	Action expertise reduces brain activity for audiovisual matching actions: An fMRI study with expert drummers	2011	10.1016/j.neuroimage.2011.03.009	WOS:000290649300060		2	22	RvB	research done on expert drummer; not social	AV	leave in	
