UT,AU,TI,PY,DI,study_number,TC_2020,sample_size,RV_dist_location,RV,AB,SO
WOS:000285398000007,"Kempton, MJ; Ettinger, U; Foster, R; Williams, SCR; Calvert, GA; Hampshire, A; Zelaya, FO; O'Gorman, RL; McMorris, T; Owen, AM; Smith, MS",Dehydration Affects Brain Structure and Function in Healthy Adolescents,2011,10.1002/hbm.20999,1,88,10,top,0.88,"It was recently observed that dehydration causes shrinkage of brain tissue and an associated increase in ventricular volume. Negative effects of dehydration on cognitive performance have been shown in some but not all studies, and it has also been reported that an increased perceived effort may be required following dehydration. However, the effects of dehydration on brain function are unknown. We investigated this question using functional magnetic resonance imaging (fMRI) in 10 healthy adolescents (mean age = 16.8, five females). Each subject completed a thermal exercise protocol and nonthermal exercise control condition in a cross-over repeated measures design. Subjects lost more weight via perspiration in the thermal exercise versus the control condition (P < 0.0001), and lateral ventricle enlargement correlated with the reduction in body mass (r = 0.77, P = 0.01). Dehydration following the thermal exercise protocol led to a significantly stronger increase in fronto-parietal blood-oxygen- level-dependent (BOLD) response during an executive function task (Tower of London) than the control condition, whereas cerebral perfusion during rest was not affected. The increase in BOLD response after dehydration was not paralleled by a change in cognitive performance, suggesting an inefficient use of brain metabolic activity following dehydration. This pattern indicates that participants exerted a higher level of neuronal activity in order to achieve the same performance level. Given the limited availability of brain metabolic resources, these findings suggest that prolonged states of reduced water intake may adversely impact executive functions such as planning and visuo-spatial processing. Hum Brain Mapp 32: 71-79, 2011. (C) 2010 Wiley-Liss, Inc.",HUMAN BRAIN MAPPING
WOS:000285453600007,"DeWall, CN; MacDonald, G; Webster, GD; Masten, CL; Baumeister, RF; Powell, C; Combs, D; Schurtz, DR; Stillman, TF; Tice, DM; Eisenberger, NI",Acetaminophen Reduces Social Pain: Behavioral and Neural Evidence,2010,10.1177/0956797610374741,2,240,25,top,0.872727273,"Pain, whether caused by physical injury or social rejection, is an inevitable part of life. These two types of pain-physical and social-may rely on some of the same behavioral and neural mechanisms that register pain-related affect. To the extent that these pain processes overlap, acetaminophen, a physical pain suppressant that acts through central (rather than peripheral) neural mechanisms, may also reduce behavioral and neural responses to social rejection. In two experiments, participants took acetaminophen or placebo daily for 3 weeks. Doses of acetaminophen reduced reports of social pain on a daily basis (Experiment 1). We used functional magnetic resonance imaging to measure participants' brain activity (Experiment 2), and found that acetaminophen reduced neural responses to social rejection in brain regions previously associated with distress caused by social pain and the affective component of physical pain (dorsal anterior cingulate cortex, anterior insula). Thus, acetaminophen reduces behavioral and neural responses associated with the pain of social rejection, demonstrating substantial overlap between social and physical pain.",PSYCHOLOGICAL SCIENCE
WOS:000294841900020,"Lim, SL; O'Doherty, JP; Rangel, A",The Decision Value Computations in the vmPFC and Striatum Use a Relative Value Code That is Guided by Visual Attention,2011,10.1523/JNEUROSCI.1246-11.2011,1,167,20,top,0.835,"There is a growing consensus in behavioral neuroscience that the brain makes simple choices by first assigning a value to the options under consideration and then comparing them. Two important open questions are whether the brain encodes absolute or relative value signals, and what role attention might play in these computations. We investigated these questions using a human fMRI experiment with a binary choice task in which the fixations to both stimuli were exogenously manipulated to control for the role of visual attention in the valuation computation. We found that the ventromedial prefrontal cortex and the ventral striatum encoded fixation-dependent relative value signals: activity in these areas correlated with the difference in value between the attended and the unattended items. These attention-modulated relative value signals might serve as the input of a comparator system that is used to make a choice.",JOURNAL OF NEUROSCIENCE
WOS:000353838600021,"Sui, J; Liu, MH; Mevorach, C; Humphreys, GW",The Salient Self: The Left Intraparietal Sulcus Responds to Social as Well as Perceptual-Salience After Self-Association,2015,10.1093/cercor/bht302,4,57,12,top,0.791666667,"Perceptual learning is associated with experience-based changes in stimulus salience. Here, we use a novel procedure to show that learning a new association between a self-label and a neutral stimulus produces fast alterations in social salience measured by interference when targets associated with other people have to be selected in the presence of self-associated distractors. Participants associated neutral shapes with either themselves or a friend, over a short run of training trials. Subsequently, the shapes had to be identified in hierarchical (global-local) forms. The data show that giving a shape greater personal significance by associating it with the self had effects on visual selection equivalent to altering perceptual salience. Similar to previously observed effects linked to when perceptually salient distractors are ignored, effects of a self-associated distractor also increased activation in the left intraparietal cortex sulcus. The results show that self-associations to sensory stimuli rapidly modulate neural responses in a manner similar to changes in perceptual saliency. The self-association procedure provides a new way to understand how personal significance affects behavior.",CEREBRAL CORTEX
WOS:000340068500002,"Hassabis, D; Spreng, RN; Rusu, AA; Robbins, CA; Mar, RA; Schacter, DL",Imagine All the People: How the Brain Creates and Uses Personality Models to Predict Behavior,2014,10.1093/cercor/bht042,1,105,19,top,0.789473684,"The behaviors of other people are often central to envisioning the future. The ability to accurately predict the thoughts and actions of others is essential for successful social interactions, with far-reaching consequences. Despite its importance, little is known about how the brain represents people in order to predict behavior. In this functional magnetic resonance imaging study, participants learned the unique personality of 4 protagonists and imagined how each would behave in different scenarios. The protagonists' personalities were composed of 2 traits: Agreeableness and Extraversion. Which protagonist was being imagined was accurately inferred based solely on activity patterns in the medial prefrontal cortex using multivariate pattern classification, providing novel evidence that brain activity can reveal whom someone is thinking about. Lateral temporal and posterior cingulate cortex discriminated between different degrees of agreeableness and extraversion, respectively. Functional connectivity analysis confirmed that regions associated with trait-processing and individual identities were functionally coupled. Activity during the imagination task, and revealed by functional connectivity, was consistent with the default network. Our results suggest that distinct regions code for personality traits, and that the brain combines these traits to represent individuals. The brain then uses this ""personality model"" to predict the behavior of others in novel situations.",CEREBRAL CORTEX
WOS:000273104000004,"Enzi, B; de Greck, M; Prosch, U; Tempelmann, C; Northoff, G",Is Our Self Nothing but Reward? Neuronal Overlap and Distinction between Reward and Personal Relevance and Its Relation to Human Personality,2009,10.1371/journal.pone.0008429,1,81,19,middle,0.355263158,"Background: The attribution of personal relevance, i.e. relating internal and external stimuli to establish a sense of belonging, is a common phenomenon in daily life. Although previous research demonstrated a relationship between reward and personal relevance, their exact neuronal relationship including the impact of personality traits remains unclear. Methodology/Principal Findings: Using functional magnetic resonance imaging, we applied an experimental paradigm that allowed us to explore the neural response evoked by reward and the attribution of personal relevance separately. We observed different brain regions previously reported to be active during reward and personal relevance, including the bilateral caudate nucleus and the pregenual anterior cingulate cortex (PACC). Additional analysis revealed activations in the right and left insula specific for the attribution of personal relevance. Furthermore, our results demonstrate a negative correlation between signal changes in both the PACC and the left anterior insula during the attribution of low personal relevance and the personality dimension novelty seeking. Conclusion/Significance: While a set of subcortical and cortical regions including the PACC is commonly involved in reward and personal relevance, other regions like the bilateral anterior insula were recruited specifically during personal relevance. Based on our correlation between novelty seeking and signal changes in both regions during personal relevance, we assume that the neuronal response to personally relevant stimuli is dependent on the personality trait novelty seeking.",PLOS ONE
WOS:000296729400001,"Libedinsky, C; Smith, DV; Teng, CS; Namburi, P; Chen, VW; Huettel, SA; Chee, MWL",Sleep deprivation alters valuation signals in the ventromedial prefrontal cortex,2011,10.3389/fnbeh.2011.00070,1,47,18,middle,0.261111111,"Even a single night of total sleep deprivation(SD) can have dramatic effects on economic decision making. Here we tested the novel hypothesis that SD influences economic decisions by altering the valuation process. Using functional magnetic resonance imaging we identified value signals related to the anticipation and the experience of monetary and social rewards (attractive female faces) .We then derived decision value signals that were predictive of each participant's Willingness to exchange money for brief views of attractive faces in an independent market task. Strikingly, SD altered decision value signals inventromedial prefrontal cortex (VMPFC) in proportion to the corresponding change in economic references. These changes in preference were independen to the effects of SD on attention and vigilance. Our results provide novel evidence that signals in VMPFC track the current state of the individual, and thus reflect not static but constructed preferences.",FRONTIERS IN BEHAVIORAL NEUROSCIENCE
WOS:000370243000017,"Feng, CL; Deshpande, G; Liu, C; Gu, RL; Luo, YJ; Krueger, F",Diffusion of Responsibility Attenuates Altruistic Punishment: A Functional Magnetic Resonance Imaging Effective Connectivity Study,2016,10.1002/hbm.23057,1,29,22,middle,0.263636364,"Humans altruistically punish violators of social norms to enforce cooperation and pro-social behaviors. However, such altruistic behaviors diminish when others are present, due to a diffusion of responsibility. We investigated the neural signatures underlying the modulations of diffusion of responsibility on altruistic punishment, conjoining a third-party punishment task with event-related functional magnetic resonance imaging and multivariate Granger causality mapping. In our study, participants acted as impartial third-party decision-makers and decided how to punish norm violations under two different social contexts: alone (i.e., full responsibility) or in the presence of putative other third-party decision makers (i.e., diffused responsibility). Our behavioral results demonstrated that the diffusion of responsibility served as a mediator of context-dependent punishment. In the presence of putative others, participants who felt less responsible also punished less severely in response to norm violations. Our neural results revealed that underlying this behavioral effect was a network of interconnected brain regions. For unfair relative to fair splits, the presence of others led to attenuated responses in brain regions implicated in signaling norm violations (e.g., AI) and to increased responses in brain regions implicated in calculating values of norm violations (e.g., vmPFC, precuneus) and mentalizing about others (dmPFC). The dmPFC acted as the driver of the punishment network, modulating target regions, such as AI, vmPFC, and precuneus, to adjust altruistic punishment behavior. Our results uncovered the neural basis of the influence of diffusion of responsibility on altruistic punishment and highlighted the role of the mentalizing network in this important phenomenon. (C) 2015 Wiley Periodicals, Inc.",HUMAN BRAIN MAPPING
WOS:000263162600004,"Hennenlotter, A; Dresel, C; Castrop, F; Baumann, AOC; Wohlschlager, AM; Haslinger, B",The Link between Facial Feedback and Neural Activity within Central Circuitries of Emotion-025EFNew Insights from Botulinum Toxin-Induced Denervation of Frown Muscles,2009,10.1093/cercor/bhn104,1,120,35,middle,0.285714286,"Afferent feedback from muscles and skin has been suggested to influence our emotions during the control of facial expressions. Recent imaging studies have shown that imitation of facial expressions is associated with activation in limbic regions such as the amygdala. Yet, the physiological interaction between this limbic activation and facial feedback remains unclear. To study if facial feedback effects on limbic brain responses during intentional imitation of facial expressions, we applied botulinum toxin (BTX)-induced denervation of frown muscles in combination with functional magnetic resonance imaging as a reversible lesion model to minimize the occurrence of afferent muscular and cutaneous input. We show that, during imitation of angry facial expressions, reduced feedback due to BTX treatment attenuates activation of the left amygdala and its functional coupling with brain stem regions implicated in autonomic manifestations of emotional states. These findings demonstrate that facial feedback modulates neural activity within central circuitries of emotion during intentional imitation of facial expressions. Given that people tend to mimic the emotional expressions of others, this could provide a potential physiological basis for the social transfer of emotion.",CEREBRAL CORTEX
WOS:000341017300012,"Freeman, JB; Stolier, RM; Ingbretsen, ZA; Hehman, EA",Amygdala Responsivity to High-Level Social Information from Unseen Faces,2014,10.1523/JNEUROSCI.5063-13.2014,1,44,19,middle,0.330827068,"Previous research shows that the amygdala automatically responds to a face's trustworthiness when a face is clearly visible. However, it is unclear whether the amygdala could evaluate such high-level facial information without a face being consciously perceived. Using a backward masking paradigm, we demonstrate in two functional neuroimaging experiments that the human amygdala is sensitive to subliminal variation in facial trustworthiness. Regions in the amygdala tracked how untrustworthy a face appeared (i.e., negative-linear responses) as well as the overall strength of a face's trustworthiness signal (i.e., nonlinear responses), despite faces not being subjectively seen. This tracking was robust across blocked and event-related designs and both real and computer-generated faces. The findings demonstrate that the amygdala can be influenced by even high-level facial information before that information is consciously perceived, suggesting that the amygdala's processing of social cues in the absence of awareness may be more extensive than previously described.",JOURNAL OF NEUROSCIENCE
WOS:000351248400003,"Tu, L; Wang, JJ; Abutalebi, J; Jiang, B; Pan, XM; Li, M; Gao, W; Yang, YC; Liang, BS; Lu, Z; Huang, RW",Language exposure induced neuroplasticity in the bilingual brain: A follow-up fMRI study,2015,10.1016/j.cortex.2014.09.019,1,26,10,middle,0.433333333,"Although several studies have shown that language exposure crucially influence the cerebral representation of bilinguals, the effects of short-term change of language exposure in daily life upon language control areas in bilinguals are less known. To explore this issue, we employed follow-up fMRI to investigate whether differential exposure induces neuroplastic changes in the language control network in high-proficient Cantonese (L1)-Mandarin (L2) early bilinguals. The same 10 subjects underwent twice BOLD-fMRI scans while performing a silent narration task which corresponded to two different language exposure conditions, CON-1 (L1/L2 usage percentage, 50%:50%) and CON-2 (L1/L2 usage percentage, 90%:10%). We report a strong effect of language exposure in areas related to language control for the less exposed language. Interestingly, these significant effects were present after only a 30-day period of differential language exposure. In detail, we reached the following results: (1) the interaction effect of language and language exposure condition was found significantly in the left pars opercularis (BA 44) and marginally in the left MFG (BA 9); (2) in CON-2, increases of activation values in L2 were found significantly in bilateral BA 46 and BA 9, in the left BA44, and marginally in the left caudate; and (3) in CON-2, we found a significant negative correlation between language exposure to L2 and the BOLD activation value specifically in the left ACC. These findings strongly support the hypothesis that even short periods of differential exposure to a given language may induce significant neuroplastic changes in areas responsible for language control. The language which a bilingual is less exposed to and is also less used will be in need of increased mental control as shown by the increased activity of language control areas. (C) 2014 Elsevier Ltd. All rights reserved.",CORTEX
WOS:000286009100004,"Onoda, K; Okamoto, Y; Nakashima, K; Nittono, H; Yoshimura, S; Yamawaki, S; Yamaguchi, S; Ura, M",Does low self-esteem enhance social pain? The relationship between trait self-esteem and anterior cingulate cortex activation induced by ostracism,2010,10.1093/scan/nsq002,1,107,26,middle,0.374125874,"According to sociometer theory, self-esteem serves as a barometer of the extent to which individuals are socially included or excluded by others. We hypothesized that trait self-esteem would be related to social pain responsiveness, and we used functional magnetic resonance imaging to experimentally investigate this potential relationship. Participants (n = 26) performed a cyberball task, a computerized game of catch during which the participants were excluded from the game. Participants then rated the degree of social pain experienced during both inclusion in and exclusion from the game. Individuals with lower trait self-esteem reported increased social pain relative to individuals with higher trait self-esteem, and such individuals also demonstrated a greater degree of dorsal anterior cingulate cortex activation. A psychophysiological interaction analysis revealed a positive connectivity between the dorsal anterior cingulate and prefrontal cortices for the lower trait self-esteem group, and a corresponding negative connectivity for the higher trait self-esteem group. Heightened dorsal anterior cortex activity and a corresponding connection with the prefrontal cortex might be one possible explanation for the greater levels of social pain observed experienced by individuals with low trait self-esteem.",SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE
WOS:000322904700019,"Somerville, LH; Jones, RM; Ruberry, EJ; Dyke, JP; Glover, G; Casey, BJ",The Medial Prefrontal Cortex and the Emergence of Self-Conscious Emotion in Adolescence,2013,10.1177/0956797613475633,1,141,69,middle,0.255434783,"In the present study, we examined the relationship between developmental modulation of socioaffective brain systems and adolescents' preoccupation with social evaluation. Child, adolescent, and adult participants viewed cues indicating that a camera was alternately off, warming up, or projecting their image to a peer during the acquisition of behavioral-, autonomic-, and neural-response (functional MRI) data. Believing that a peer was actively watching them was sufficient to induce self-conscious emotion that rose in magnitude from childhood to adolescence and partially subsided into adulthood. Autonomic arousal was uniquely heightened in adolescents. These behavioral patterns were paralleled by emergent engagement of the medial prefrontal cortex (MPFC) and striatum-MPFC connectivity during adolescence, which are thought to promote motivated social behavior in adolescence. These findings demonstrate that adolescents' self-consciousness is related to age-dependent sensitivity of brain systems critical to socioaffective processes. Further, unique interactions between the MPFC and striatum may provide a mechanism by which social-evaluation contexts influence adolescent behavior.",PSYCHOLOGICAL SCIENCE
WOS:000273779000008,"Aziz-Zadeh, L; Sheng, T; Gheytanchi, A",Common Premotor Regions for the Perception and Production of Prosody and Correlations with Empathy and Prosodic Ability,2010,10.1371/journal.pone.0008759,1,64,19,middle,0.306220096,"Background: Prosody, the melody and intonation of speech, involves the rhythm, rate, pitch and voice quality to relay linguistic and emotional information from one individual to another. A significant component of human social communication depends upon interpreting and responding to another person's prosodic tone as well as one's own ability to produce prosodic speech. However there has been little work on whether the perception and production of prosody share common neural processes, and if so, how these might correlate with individual differences in social ability. Methods: The aim of the present study was to determine the degree to which perception and production of prosody rely on shared neural systems. Using fMRI, neural activity during perception and production of a meaningless phrase in different prosodic intonations was measured. Regions of overlap for production and perception of prosody were found in premotor regions, in particular the left inferior frontal gyrus (IFG). Activity in these regions was further found to correlate with how high an individual scored on two different measures of affective empathy as well as a measure on prosodic production ability. Conclusions: These data indicate, for the first time, that areas that are important for prosody production may also be utilized for prosody perception, as well as other aspects of social communication and social understanding, such as aspects of empathy and prosodic ability.",PLOS ONE
WOS:000321435100005,"Escoffier, N; Zhong, JD; Schirmer, A; Qiu, AQ","Emotional expressions in voice and music: Same code, same effect?",2013,10.1002/hbm.22029,1,40,16,middle,0.3125,"Scholars have documented similarities in the way voice and music convey emotions. By using functional magnetic resonance imaging (fMRI) we explored whether these similarities imply overlapping processing substrates. We asked participants to trace changes in either the emotion or pitch of vocalizations and music using a joystick. Compared to music, vocalizations more strongly activated superior and middle temporal cortex, cuneus, and precuneus. However, despite these differences, overlapping rather than differing regions emerged when comparing emotion with pitch tracing for music and vocalizations, respectively. Relative to pitch tracing, emotion tracing activated medial superior frontal and anterior cingulate cortex regardless of stimulus type. Additionally, we observed emotion specific effects in primary and secondary auditory cortex as well as in medial frontal cortex that were comparable for voice and music. Together these results indicate that similar mechanisms support emotional inferences from vocalizations and music and that these mechanisms tap on a general system involved in social cognition. Hum Brain Mapp, 2013. (c) 2012 Wiley Periodicals, Inc.",HUMAN BRAIN MAPPING
WOS:000336487400004,"Altmann, U; Bohrn, IC; Lubrich, O; Menninghaus, W; Jacobs, AM",Fact vs fiction-how paratextual information shapes our reading processes,2014,10.1093/scan/nss098,1,57,24,middle,0.339285714,"Our life is full of stories: some of them depict real-life events and were reported, e. g. in the daily news or in autobiographies, whereas other stories, as often presented to us in movies and novels, are fictional. However, we have only little insights in the neurocognitive processes underlying the reading of factual as compared to fictional contents. We investigated the neurocognitive effects of reading short narratives, labeled to be either factual or fictional. Reading in a factual mode engaged an activation pattern suggesting an action-based reconstruction of the events depicted in a story. This process seems to be past-oriented and leads to shorter reaction times at the behavioral level. In contrast, the brain activation patterns corresponding to reading fiction seem to reflect a constructive simulation of what might have happened. This is in line with studies on imagination of possible past or future events.",SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE
WOS:000321622600022,"Tamber-Rosenau, BJ; Dux, PE; Tombu, MN; Asplund, CL; Marois, R",Amodal Processing in Human Prefrontal Cortex,2013,10.1523/JNEUROSCI.4601-12.2013,5,26,10,middle,0.325,"Information enters the cortex via modality-specific sensory regions, whereas actions are produced by modality-specific motor regions. Intervening central stages of information processing map sensation to behavior. Humans perform this central processing in a flexible, abstract manner such that sensory information in any modality can lead to response via any motor system. Cognitive theories account for such flexible behavior by positing amodal central information processing (e. g., ""central executive,"" Baddeley and Hitch, 1974; ""supervisory attentional system,"" Norman and Shallice, 1986; ""response selection bottleneck,"" Pashler, 1994). However, the extent to which brain regions embodying central mechanisms of information processing are amodal remains unclear. Here we apply multivariate pattern analysis to functional magnetic resonance imaging (fMRI) data to compare response selection, a cognitive process widely believed to recruit an amodal central resource across sensory and motor modalities. We show that most frontal and parietal cortical areas known to activate across a wide variety of tasks code modality, casting doubt on the notion that these regions embody a central processor devoid of modality representation. Importantly, regions of anterior insula and dorsolateral prefrontal cortex consistently failed to code modality across four experiments. However, these areas code at least one other task dimension, process (instantiated as response selection vs response execution), ensuring that failure to find coding of modality is not driven by insensitivity of multivariate pattern analysis in these regions. We conclude that abstract encoding of information modality is primarily a property of subregions of the prefrontal cortex.",JOURNAL OF NEUROSCIENCE
WOS:000350108800002,"Novembre, G; Zanon, M; Silani, G",Empathy for social exclusion involves the sensory-discriminative component of pain: a within-subject fMRI study,2015,10.1093/scan/nsu038,1,37,23,middle,0.268115942,"Recent research has shown that experiencing events that represent a significant threat to social bonds activates a network of brain areas associated with the sensory-discriminative aspects of pain. In the present study, we investigated whether the same brain areas are involved when witnessing social exclusion threats experienced by others. Using a within-subject design, we show that an ecologically valid experience of social exclusion recruits areas coding the somatosensory components of physical pain (posterior insular cortex and secondary somatosensory cortex). Furthermore, we show that this pattern of activation not only holds for directly experienced social pain, but also during empathy for social pain. Finally, we report that subgenual cingulate cortex is the only brain area conjointly active during empathy for physical and social pain. This supports recent theories that affective processing and homeostatic regulation are at the core of empathic responses.",SOCIAL COGNITIVE AND AFFECTIVE NEUROSCIENCE
WOS:000283555300008,"Telzer, EH; Masten, CL; Berkman, ET; Lieberman, MD; Fuligni, AJ",Gaining while giving: An fMRI study of the rewards of family assistance among White and Latino youth,2010,10.1080/17470911003687913,1,70,25,middle,0.254545455,"Family assistance is an important aspect of family relationships for adolescents across many cultures and contexts. Motivations to help family members may be driven by both cultural factors and early family experiences. Here, we used functional magnetic resonance imaging to examine (1) cultural differences in neural reward activity among White and Latino youth during online experiences of family assistance and (2) how prior family experiences related to neural reward activity when helping the family. Participants were scanned as they made decisions to contribute money to their family and themselves. Latino and White participants showed similar behavioral levels of helping but distinct patterns of neural activity within the mesolimbic reward system. Whereas Latino participants showed more reward activity when contributing to their family, White participants showed more reward activity when gaining cash for themselves. In addition, participants who felt more identified with their family and who derived greater fulfillment from helping their family two years prior to the scan showed increased reward system activation when contributing to their family. These results suggest that family assistance may be guided, in part, by the personal rewards one attains from that assistance, and that this sense of reward may be modulated by cultural influences and prior family experiences.",SOCIAL NEUROSCIENCE
WOS:000295030000074,"Bault, N; Joffily, M; Rustichini, A; Coricelli, G",Medial prefrontal cortex and striatum mediate the influence of social comparison on the decision process,2011,10.1073/pnas.1100892108,1,81,24,middle,0.3375,"We compared private and social decision making to investigate the neural underpinnings of the effect of social comparison on risky choices. We measured brain activity using functional MRI while participants chose between two lotteries: in the private condition, they observed the outcome of the unchosen lottery, and in the social condition, the outcome of the lottery chosen by another person. The striatum, a reward-related brain structure, showed higher activity when participants won more than their counterpart ( social gains) compared with winning in isolation and lower activity when they won less than their counterpart ( social loss) compared with private loss. The medial prefrontal cortex, implicated in social reasoning, was more activated by social gains than all other events. Sensitivity to social gains influenced both brain activity and behavior during subsequent choices. Specifically, striatal activity associated with social gains predicted medial prefrontal cortex activity during social choices, and experienced social gains induced more risky and competitive behavior in later trials. These results show that interplay between reward and social reasoning networks mediates the influence of social comparison on the decision process.",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA
WOS:000310600500063,"Lyons, IM; Beilock, SL",When Math Hurts: Math Anxiety Predicts Pain Network Activation in Anticipation of Doing Math,2012,10.1371/journal.pone.0048076,1,84,28,middle,0.333333333,"Math can be difficult, and for those with high levels of mathematics-anxiety (HMAs), math is associated with tension, apprehension, and fear. But what underlies the feelings of dread effected by math anxiety? Are HMAs' feelings about math merely psychological epiphenomena, or is their anxiety grounded in simulation of a concrete, visceral sensation - such as pain - about which they have every right to feel anxious? We show that, when anticipating an upcoming math-task, the higher one's math anxiety, the more one increases activity in regions associated with visceral threat detection, and often the experience of pain itself (bilateral dorso-posterior insula). Interestingly, this relation was not seen during math performance, suggesting that it is not that math itself hurts; rather, the anticipation of math is painful. Our data suggest that pain network activation underlies the intuition that simply anticipating a dreaded event can feel painful. These results may also provide a potential neural mechanism to explain why HMAs tend to avoid math and math-related situations, which in turn can bias HMAs away from taking math classes or even entire math-related career paths.",PLOS ONE
WOS:000296850700018,"Liew, SL; Han, SH; Aziz-Zadeh, L",Familiarity Modulates Mirror Neuron and Mentalizing Regions During Intention Understanding,2011,10.1002/hbm.21164,1,63,18,middle,0.35,"Recent research suggests that the inference of others' intentions from their observed actions is supported by two neural systems that perform complementary roles. The human putative mirror neuron system (pMNS) is thought to support automatic motor simulations of observed actions, with increased activity for previously experienced actions, whereas the mentalizing system provides reflective, non-intuitive reasoning of others' perspectives, particularly in the absence of prior experience. In the current fMRI study, we show how motor familiarity with an action and perceptual familiarity with the race of an actor uniquely modulate these two systems. Chinese participants were asked to infer the intentions of actors performing symbolic gestures, an important form of non-verbal communication that has been shown to activate both mentalizing and mirror neuron regions. Stimuli were manipulated along two dimensions: (1) actor's race (Caucasian vs. Chinese actors) and (2) participants' level of experience with the gestures (familiar or unfamiliar). We found that observing all gestures compared to observing still images was associated with increased activity in key regions of both the pMNS and mentalizing systems. In addition, observations of one's same race generated greater activity in the posterior pMNS-related regions and the insula than observations of a different race. Surprisingly, however, familiar gestures more strongly activated regions associated with mentalizing, while unfamiliar gestures more strongly activated the posterior region of the pMNS, a finding that is contrary to prior literature and demonstrates the powerful modulatory effects of both motor and perceptual familiarity on pMNS and mentalizing regions when asked to infer the intentions of intransitive gestures. Hum Brain Mapp 32:1986-1997, 2011. (C) 2010 Wiley Periodicals, Inc.",HUMAN BRAIN MAPPING
WOS:000360949300002,"Quadflieg, S; Gentile, F; Rossion, B",The neural basis of perceiving person interactions,2015,10.1016/j.cortex.2014.12.020,1,22,12,middle,0.305555556,"This study examined whether the grouping of people into meaningful social scenes (e.g., two people having a chat) impacts the basic perceptual analysis of each partaking individual. To explore this issue, we measured neural activity using functional magnetic resonance imaging (fMRI) while participants sex-categorized congruent as well as incongruent person dyads (i.e., two people interacting in a plausible or implausible manner). Incongruent person dyads elicited enhanced neural processing in several high-level visual areas dedicated to face and body encoding and in the posterior middle temporal gyrus compared to congruent person dyads. Incongruent and congruent person scenes were also successfully differentiated by a linear multivariate pattern classifier in the right fusiform body area and the left extrastriate body area. Finally, increases in the person scenes' meaningfulness as judged by independent observers was accompanied by enhanced activity in the bilateral posterior insula. These findings demonstrate that the processing of person scenes goes beyond a mere stimulus-bound encoding of their partaking agents, suggesting that changes in relations between agents affect their representation in category-selective regions of the visual cortex and beyond. (C) 2015 Elsevier Ltd. All rights reserved.",CORTEX
WOS:000348378800011,"Bray, S; Arnold, AEGF; Levy, RM; Iaria, G",Spatial and Temporal Functional Connectivity Changes Between Resting and Attentive States,2015,10.1002/hbm.22646,1,31,16,middle,0.322916667,"Remote brain regions show correlated spontaneous activity at rest within well described intrinsic connectivity networks (ICNs). Meta-analytic coactivation studies have uncovered networks similar to resting ICNs, suggesting that in task states connectivity modulations may occur principally within ICNs. However, it has also been suggested that specific hub regions dynamically link networks under different task conditions. Here, we used functional magnetic resonance imaging at rest and a continuous visual attention task in 16 participants to investigate whether a shift from rest to attention was reflected by within-network connectivity modulation, or changes in network topography. Our analyses revealed evidence for both modulation of connectivity within the default-mode (DMN) and dorsal attention networks (DAN) between conditions, and identified a set of regions including the temporoparietal junction (TPJ) and posterior middle frontal gyrus (MFG) that switched between the DMN and DAN depending on the task. We further investigated the temporal nonstationarity of flexible (TPJ and MFG) regions during both attention and rest. This showed that moment-to-moment differences in connectivity at rest mirrored the variation in connectivity between tasks. Task-dependent changes in functional connectivity of flexible regions may, therefore, be understood as shifts in the proportion of time specific connections are engaged, rather than a switch between networks per se. This ability of specific regions to dynamically link ICNs under different task conditions may play an important role in behavioral flexibility. Hum Brain Mapp 36:549-565, 2015. (c) 2014 Wiley Periodicals, Inc.",HUMAN BRAIN MAPPING
WOS:000273626400070,"Beer, JS; Hughes, BL","Neural systems of social comparison and the \above-average\"" effect""",2010,10.1016/j.neuroimage.2009.10.075,1,69,20,middle,0.313636364,"Extant neural models of self-evaluation are dominated by associations with medial prefrontal cortex (MPFC) and posterior cingulate cortex (PCC) function and have mostly been developed from studies differentiating self-evaluation from evaluation of other people. Although self-evaluation is robustly characterized by systematic biases. current neural models of self-evaluation cannot speak to their neurobiology because of a lack of research. The few extant studies have made claims about associations between bias and ventral anterior cingulate cortex (vACC) function but have confounded bias with the valence of experimental stimuli. In study 1, fMRI was used to examine the neurobiology of the ""above-average"" effect. a robust self-evaluation bias The majority of people judge their personality to be more desirable (i e. more positive and less negative traits) than their peers' personalities MPFC and PCC were significantly more activated by a condition that reduced susceptibility to ""above-average"" judgments However, MPFC and PFCC activity were not modulated by individual differences in ""above-average"" judgments VACC activity distinguished positive from negative valence but did not predict individual differences in ""above-average"" judgments Instead, the extent to which participants viewed themselves as ""above average"" was negatively correlated with orbitofrontal cortex (OFC) and, to a lesser extent, dorsal anterior cingulate cortex (dACC) activation A complementary study found that mental load increases ""above-average"" judgments (study 2) These findings are the first to directly examine the neural systems involved in social judgment bias and have implications for the association between frontal lobe dysfunction and poor insight. (C) 2009 Elsevier Inc All rights reserved",NEUROIMAGE
