Authors	Title	Publication Year	DOI	sample size before exclusion	sample_size_after.x	UT	p_oa	p_oa_gold	p_oa_bronze	p_oa_hybrid	p_oa_green	pub_block_begin	pub_block_end	p	mcs	tcs	mncs	mnjs	pp_top_perc	pp_uncited	prop_self_cits	int_cov	pp_collab	pp_int_collab	SO	NR	TC	Z9	U1	U2	SN	JI	PD	WC	SC	AU1_UN	standardized.coder.comment.y	p.value.	MF_short	MF_in_t_a_d_o	MF_clarity	MF_result_report	MF_result_report_clarity	MF_is_positive_finding	Paper_type	is_longtitudinal	paper_clarity	is_replication	is_exploratory	prereg	prereg_link	NA..1	altmetric_jid	issns	cohorts.pub	cohorts.sci	cohorts.com	context.all.count	context.all.mean	context.all.rank	context.all.pct	context.all.higher_than	context.journal.count	context.journal.mean	context.journal.rank	context.journal.pct	context.journal.higher_than	context.similar_age_3m.count	context.similar_age_3m.mean	context.similar_age_3m.rank	context.similar_age_3m.pct	context.similar_age_3m.higher_than	context.similar_age_journal_3m.count	context.similar_age_journal_3m.mean	context.similar_age_journal_3m.rank	context.similar_age_journal_3m.pct	context.similar_age_journal_3m.higher_than	authors1	authors2	authors3	authors4	type	altmetric_id	schema	is_oa	publisher_subjects.name1	publisher_subjects.name2	publisher_subjects.scheme1	publisher_subjects.scheme2	cited_by_posts_count	cited_by_tweeters_count	cited_by_accounts_count	last_updated	score	history.1y	history.6m	history.3m	history.1m	history.1w	history.6d	history.5d	history.4d	history.3d	history.2d	history.1d	history.at	added_on	published_on	scopus_subjects1	scopus_subjects2	readers.citeulike	readers.mendeley	readers.connotea	readers_count	images.small	images.medium	images.large	details_url	publisher_subjects.name3	publisher_subjects.scheme3	pmid	uri	authors5	cited_by_qna_count	subjects	scopus_subjects3	scopus_subjects4	issns1	issns2	issns3	abstract	abstract_source	authors6	authors7	authors8	cited_by_fbwalls_count	cited_by_feeds_count	cited_by_peer_review_sites_count	cited_by_msm_count	authors	publisher_subjects.name	publisher_subjects.scheme	cohorts.doc	publisher_subjects.name4	publisher_subjects.name5	publisher_subjects.name6	publisher_subjects.name7	publisher_subjects.scheme4	publisher_subjects.scheme5	publisher_subjects.scheme6	publisher_subjects.scheme7	cited_by_policies_count	authors9	authors10	subjects1	subjects2	subjects3	cited_by_gplus_count	handles	handle	publisher_subjects.name8	publisher_subjects.name9	publisher_subjects.scheme8	publisher_subjects.scheme9	authors11	authors12	authors13	authors14	authors15	authors16	pmc	scopus_subjects	cited_by_wikipedia_count	cited_by_videos_count	cited_by_pinners_count	cited_by_rdts_count
ATHENSTAEDT U;HEINZLE C;LERCHBAUMER G	GENDER SUBGROUP SELF-CATEGORIZATION AND GENDER ROLE SELF-CONCEPT	2008	10.1007/S11199-007-9288-Z	380	351	isi000252485200009	0	0	0	0	0	1981	2017	1	3	3	0.160801864994653	1.22588632678463	0	0	0.25	0.657142857142857	0	0	SEX ROLES	38	4	5	2	16	0360-0025	SEX ROLES	FEB	"PSYCHOLOGY, DEVELOPMENTAL; PSYCHOLOGY, SOCIAL; WOMEN'S STUDIES"	PSYCHOLOGY; WOMEN'S STUDIES	GRAZ UNIV																																																																																																																																												
ATKINS AL;DEAUX KK;BIERI J	LATITUDE OF ACCEPTANCE AND ATTITUDE CHANGE - EMPIRICAL EVIDENCE FOR A REFORMULATION	1967	10.1037/H0024527	54	54	isia19679363400006	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	7	18	18	0	0	0022-3514	J. PERS. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																																																																																																																																												
AVNET T;SELLIER AL	CLOCK TIME VS. EVENT TIME: TEMPORAL CULTURE OR SELF-REGULATION?	2011	10.1016/J.JESP.2011.01.006		65	isi000289922500020	0	0	0	0	0	1981	2017	1	9	9	0.560223743117597	0.96614024470982	0	0	0.1	0.764705882352941	1	0	JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY	19	15	15	2	13	0022-1031	J. EXP. SOC. PSYCHOL.	MAY	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																	4f6fa4f43cf058f610002d9d	0022-1031	2			12961138	7.9034634816237	7012665	44	5779327	1638	25.142485033598	1250	22	371	294795	7.491942997483	110891	60	178797	65	17.54159375	44	30	20	Tamar Avnet	Anne-Laure Sellier			article	2937421	1.5.4	FALSE	Psychology	Cognitive Science	era	era	2	2	2	1526603305	2	0	0	0	0	0	0	0	0	0	0	0	2	1417396896	1304208000	Psychology	Social Sciences	0	55	0	55	https://badges.altmetric.com/?size=64&score=2&types=tttttttt	https://badges.altmetric.com/?size=100&score=2&types=tttttttt	https://badges.altmetric.com/?size=180&score=2&types=tttttttt	http://www.altmetric.com/details.php?citation_id=2937421																																																										
BABBITT LG;SOMMERS SR	FRAMING MATTERS: CONTEXTUAL INFLUENCES ON INTERRACIAL INTERACTION OUTCOMES	2011	10.1177/0146167211410070	92	86	isi000293081600008	0	0	0	0	0	1981	2017	1	10	10	0.622470825686218	1.45098432002981	0	0	0.230769230769231	0.936170212765957	0	0	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	48	15	15	0	0	0146-1672	PERS. SOC. PSYCHOL. BULL.	SEP	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	TUFTS UNIV																																																																																																																																												
BARBARANELLI C;CAPRARA GV;VECCHIONE M;FRALEY CR	VOTERS' PERSONALITY TRAITS IN PRESIDENTIAL ELECTIONS	2007	10.1016/J.PAID.2006.09.029	6094	5623	isi000245847100003	0	0	0	0	0	1981	2017	1	34	34	1.11372103425098	0.947325475002654	0	0	0.0810810810810811	0.617647058823529	1	1	PERSONALITY AND INDIVIDUAL DIFFERENCES	41	49	50	2	17	0191-8869	PERS. INDIVID. DIFFER.	MAY	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV ROMA LA SAPIENZA		0.05	"""Participants who showed a higher probability to vote for Kerry were high in Agreeableness and Openness, low in Energy, Conscientiousness, Emotional Stability, were female and younger. Similarly participants who showed a higher probability to vote for Bush were log in Agreeableness and Openness, high in Energy, Conscientiousness, Emotional Stability, were male and older."""	4	1	All coeﬃcients are statistically signiﬁcant (p < .05 or below)	0	1	2	0	2	1	0	0			4f6fa5123cf058f6100032ca	0191-8869				12689756	7.8050159976945	10142336	11	1400201	3973	14.705531722054	3195	11	440	274470	14.209462270784	206815	12	35356	107	10.437018867925	72	23	25	Claudio Barbaranelli	Gian Vittorio Caprara	Michele Vecchione	Chris R. Fraley	article	34688706	1.5.4	FALSE	Psychology	Cognitive Science	era	era	1	1	1	1521668664	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	1521668714	1177977600	Psychology	Social Sciences	2	88	0	90	https://badges.altmetric.com/?size=64&score=1&types=tttttttt	https://badges.altmetric.com/?size=100&score=1&types=tttttttt	https://badges.altmetric.com/?size=180&score=1&types=tttttttt	http://www.altmetric.com/details.php?citation_id=34688706																									1																																	
BARGH JA;BOND RN;LOMBARDI WJ;TOTA ME	THE ADDITIVE NATURE OF CHRONIC AND TEMPORARY SOURCES OF CONSTRUCT ACCESSIBILITY	1986	10.1037/0022-3514.50.5.869	247	219	isia1986c306700001	0	0	0	0	0	1981	2017	1	315	315	4.83648177443083	3.50910616864369	1	0	0.0735294117647059	0.590909090909091	0	0	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	35	355	355	0	18	0022-3514	J. PERS. SOC. PSYCHOL.	MAY	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																	4f6fa5163cf058f6100037a6					8302052	6.9984430163018	4419510	27	2310879	5933	10.345234996628	3464	2	151	251585	12.499945870961	138764	34	87817	3	19.215	3	1	0	John A. Bargh	Ronald N. Bond	Wendy J. Lombardi	Mary E. Tota	article	10906265	1.5.4	FALSE	Psychology	Cognitive Science	era	era	1		1	1472517727	1	0	0	0	0	0	0	0	0	0	0	0	1	1472559064	504921600	Psychology	Social Sciences	0	122	0	122	https://badges.altmetric.com/?size=64&score=1&types=eeeeeeee	https://badges.altmetric.com/?size=100&score=1&types=eeeeeeee	https://badges.altmetric.com/?size=180&score=1&types=eeeeeeee	http://www.altmetric.com/details.php?citation_id=10906265	Marketing	era								0022-3514	1939-1315									1																																						
BARLETT CP	ANONYMOUSLY HURTING OTHERS ONLINE: THE EFFECT OF ANONYMITY ON CYBERBULLYING FREQUENCY	2015	10.1037/A0034335	181	178	isi000438627000002	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	PSYCHOLOGY OF POPULAR MEDIA CULTURE	26	23	23	0	3	2160-4134	PSYCHOL. POP. MEDIA CULT.	APR	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	GETTYSBURG COLL		0.001	""" Results showed that positive attitudes toward CB, CB reinforcement, and anonymity strongly predicted CB frequency."""	2	0	"""Examination of the path coefﬁcients showed that instant messaging frequency (b = .34, p < .001), positive attitudes toward CB (b = .41, p < .001), and anonymity (	b?= .16, p < .001) positively predicted CB frequency"""	1	1	2	0	1	0	0	0			53a047802a83ee3d5d8b4573		1	1		12729300	7.8211029223111	3560782	71	9137452	167	27.060289156627	81	50	84	233338	8.666824464187	67091	70	165411	8	21.407714285714	5	37	3					article	4141159	1.5.4	FALSE					7	2	7	1473579377	3.35	0	0	0	0	0	0	0	0	0	0	0	3.35	1434126135	1427846400			0	77	0	77	https://badges.altmetric.com/?size=64&score=4&types=ettfffff	https://badges.altmetric.com/?size=100&score=4&types=ettfffff	https://badges.altmetric.com/?size=180&score=4&types=ettfffff	http://www.altmetric.com/details.php?citation_id=4141159										2160-4142	2160-4134							4		1		Christopher P. Barlett																																				
BARNES RD;ICKES W;KIDD RF	EFFECTS OF THE PERCEIVED INTENTIONALITY AND STABILITY OF ANOTHERS DEPENDENCY ON HELPING-BEHAVIOR	1979	10.1177/014616727900500320	105	103	isia1979hj78300165	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	11	40	40	0	2	0146-1672	PERS. SOC. PSYCHOL. BULL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV WISCONSIN																																																																																																																																												
BARON RM;HECKENMUJ;SCHULTZ S	DIFFERENCES IN CONDITIONABILITY AS A FUNCTION OF RACE OF SUBJECT AND PRIOR AVAILABILITY OF A SOCIAL REINFORCER	1971	10.1111/J.1467-6494.1971.TB00991.X	60	60	isia1971i645300008	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF PERSONALITY	27	1	1	0	0	0022-3506	J. PERS.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																																																																																																																																												
BASSILI JN;ROY JP	ON THE REPRESENTATION OF STRONG AND WEAK ATTITUDES ABOUT POLICY IN MEMORY	1998	10.1111/0162-895X.00126	92	92	isi000077670200003	0	0	0	0	0	1981	2017	1	8	8	0.405588186428993	1.88163947918308	0	0	0	0.5	0	0	POLITICAL PSYCHOLOGY	26	8	8	0	0	0162-895X	POLIT. PSYCHOL.	DEC	"POLITICAL SCIENCE; PSYCHOLOGY, SOCIAL"	GOVERNMENT & LAW; PSYCHOLOGY	UNIV TORONTO																																																																																																																																												
BEASLEY LO;SILOVSKY JF;OWORA A;BURRIS L;HECHT D;DEMORAES HUFFINE P;CRUZ I;TOLMA E	MIXED-METHODS FEASIBILITY STUDY ON THE CULTURAL ADAPTATION OF A CHILD ABUSE PREVENTION MODEL	2014	10.1016/J.CHIABU.2014.04.017	28	28	isi000341897000008	0	0	0	0	0	1981	2017	1	2	2	0.383707894298358	1.61038028177031	0	0	0.5	0.587301587301587	1	0	CHILD ABUSE & NEGLECT	64	4	4	1	20	0145-2134	CHILD ABUSE NEGL.	SEP	"FAMILY STUDIES; PSYCHOLOGY, SOCIAL; SOCIAL WORK"	FAMILY STUDIES; PSYCHOLOGY; SOCIAL WORK	OKLAHOMA STATE UNIV																	4f6fa4ea3cf058f610002502	0145-2134				12034576	7.5176574690687	3428748	49	5963374	2159	7.4158053753475	874	34	744	327340	11.748056003103	110618	63	208906	66	21.687476923077	39	37	25	Lana O. Beasley	Jane F. Silovsky	Arthur Owora	Lorena Burris	article	15059968	1.5.4	FALSE	Psychology	Social Work	era	era	1		1	1451606400	3	0	0	0	0	0	0	0	0	0	0	0	3	1482661890	1409529600	Health Sciences	Social Sciences	0	85	0	85	https://badges.altmetric.com/?size=64&score=3&types=dddddddd	https://badges.altmetric.com/?size=100&score=3&types=dddddddd	https://badges.altmetric.com/?size=180&score=3&types=dddddddd	http://www.altmetric.com/details.php?citation_id=15059968			24835206		Debra Hecht		pediatrics	Psychology	Medicine						Patty DeMoraes-Huffine	Ivelisse Cruz	Eleni Tolma																	1																								
BEDARD M;VERMA S;COLLINS B;SONG XN;PAQUET L	PROSPECTIVE MEMORY IMPAIRMENT IN CHEMOTHERAPY-EXPOSED EARLY BREAST CANCER SURVIVORS: PRELIMINARY EVIDENCE FROM A CLINICAL TEST	2016	10.1080/07347332.2016.1181133	160	160	isi000381078600003	0	0	0	0	0	1981	2017	1	5	5	1.71081569390807	0.769867062258631	0	0	0.166666666666667	0.90625	1	0	JOURNAL OF PSYCHOSOCIAL ONCOLOGY	64	6	6	0	5	0734-7332	J. PSYCHOSOC. ONCOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	CARLETON UNIV																	4f6fa4d93cf058f6100014b6		1			8987048	7.4243513311886	6848395	13	1197231	154	3.1749411764706	117	9	15	273992	11.718257074137	192520	15	43835	4	4.6166666666667	4	1	0	"Bedard, Marc"	"Verma, Shailendra"	"Collins, Barbara"	"Song, Xinni"	article	7068775	1.5.4	FALSE					3	1	2	1485860401	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	1461925580	1461801600	Health Sciences	Social Sciences	0	29	0	29	https://badges.altmetric.com/?size=64&score=1&types=ttttffff	https://badges.altmetric.com/?size=100&score=1&types=ttttffff	https://badges.altmetric.com/?size=180&score=1&types=ttttffff	http://www.altmetric.com/details.php?citation_id=7068775			27123566	http://www.tandfonline.com/doi/full/10.1080/07347332.2016.1181133	"Paquet, Lise"			Psychology	Medicine	1540-7586	0734-7332		"We report the results of a secondary analysis of a cross-sectional study (Paquet et al., 2013 ) to evaluate the cognitive operations involved in prospective memory (PM) deficits exhibited by chemotherapy-exposed breast cancer (BC) survivors. PM was assessed with the Memory for Intentions Screening Test administered to 80 patients and 80 healthy controls. Patients performed worse than controls on the PM tasks and had more ""omission"" errors (indices of the prospective component of the tasks) than the controls. No group differences emerged on a recognition test. Although further studies will be needed to disentangle the multiple cognitive operations involved in PM, these findings are consistent with the notion that self-initiated retrieval processes rather than encoding are implicated in PM impairment among BC survivors."		Marc Bedard	Shailendra Verma	Barbara Collins	1					Psychology	era											Xinni Song	Lise Paquet	neoplasms	socialsciences	psychology																			
BEIGEL HG	THE EVALUATION OF INTELLIGENCE IN THE HETEROSEXUAL RELATIONSHIP	1957	10.1080/00224545.1957.9921944	no idea	581	isia1957ckh5100009	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF SOCIAL PSYCHOLOGY	0	3	3	0	0	0022-4545	J. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																																																																																																																																												
BELDING MA;IGUCHI MY;MORRAL AR;HUSBAND SD	MMPI PROFILES OF OPIATE ADDICTS: PREDICTING RESPONSE TO TREATMENT	1998	10.1207/S15327752JPA7002_10	at least 190	151	isi000074910700010	0	0	0	0	0	1981	2017	1	6	6	0.135118171798438	0.421346762782087	0	0	0	0.888888888888889	1	0	JOURNAL OF PERSONALITY ASSESSMENT	24	6	6	0	2	0022-3891	J. PERS. ASSESS.	APR	"PSYCHOLOGY, CLINICAL; PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	ALLAN COLLAUTT ASSOCIATES INC																																																																																																																																												
BENENSON JF;GORDON AJ;ROY R	CHILDREN'S EVALUATIVE APPRAISALS OF COMPETITION IN TETRADS VERSUS DYADS	2000	10.1177/104649640003100601	158	158	isi000165145900001	0	0	0	0	0	1981	2017	1	3	3	0.0680866410885466	0.581573392631336	0	0	0.25	0.428571428571429	0	0	SMALL GROUP RESEARCH	31	3	3	0	0	1046-4964	SMALL GROUP RES.	DEC	"PSYCHOLOGY, APPLIED; MANAGEMENT; PSYCHOLOGY, SOCIAL"	PSYCHOLOGY; BUSINESS & ECONOMICS	MCGILL UNIV																																																																																																																																												
BERANT E;WALD Y	"SELF-REPORTED ATTACHMENT PATTERNS AND RORSCHACH-RELATED SCORES OF EGO BOUNDARY, DEFENSIVE PROCESSES, AND THINKING DISORDERS"	2009	10.1080/00223890902936173	89	89	isi000268874800008	0	0	0	0	0	1981	2017	1	2	2	0.0891513003466533	1.03890023387834	0	0	0	0.54	0	0	JOURNAL OF PERSONALITY ASSESSMENT	64	5	5	0	0	0022-3891	J. PERS. ASSESS.		"PSYCHOLOGY, CLINICAL; PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	BAR ILAN UNIV		0.05	"""We found signiﬁcant associations between attachment orientations and Rorschach indexes dynamically related to anxiety."""			""" As can be seen in Table 2, attachment anxiety is positively associated with and made a unique contribution to the use of Projective Identiﬁcation, Penetration, INC, and FAB.""  .24**, .29**, .27*** respectively. *p = .06, **p<.05. ***p<.01."	0	1	3	0	2	0	0	0																																																																																																																														
BHANOT R;JOVANOVIC J	DO PARENTS' ACADEMIC GENDER STEREOTYPES INFLUENCE WHETHER THEY INTRUDE ON THEIR CHILDREN'S HOMEWORK?	2005	10.1007/S11199-005-3728-4	38	38	isi000230566500004	0	0	0	0	0	1981	2017	1	36	36	1.3214938044335	0.914899935206756	0.0144240553257474	0	0.027027027027027	0.742424242424242	0	0	SEX ROLES	66	50	51	1	17	0360-0025	SEX ROLES	MAY	"PSYCHOLOGY, DEVELOPMENTAL; PSYCHOLOGY, SOCIAL; WOMEN'S STUDIES"	PSYCHOLOGY; WOMEN'S STUDIES	UNIV ILLINOIS																																																																																																																																												
BICKMAN L	INTERPERSONAL INFLUENCE AND THE REPORTING OF A CRIME	1979	10.1177/014616727900500106	125	125	isia1979gl23200005	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	9	3	3	0	0	0146-1672	PERS. SOC. PSYCHOL. BULL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	LOYOLA UNIV																																																																																																																																												
BIZER GY;KROSNICK JA;HOLBROOK AL;WHEELER SC;RUCKER DD;PETTY RE	"THE IMPACT OF PERSONALITY ON COGNITIVE, BEHAVIORAL, AND AFFECTIVE POLITICAL PROCESSES: THE EFFECTS OF NEED TO EVALUATE"	2004	10.1111/J.0022-3506.2004.00288.X	1807	1555	isi000223589300005	1	0	0	0	1	1981	2017	1	41	41	0.982916122554049	2.83857198859018	0	0	0.0465116279069767	0.622950819672131	1	0	JOURNAL OF PERSONALITY	71	51	51	1	28	0022-3506	J. PERS.	OCT	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	EASTERN ILLINOIS UNIV																																																																																																																																												
BLOCK JH	GENERATIONAL CONTINUITY AND DISCONTINUITY IN UNDERSTANDING OF SOCIETAL REJECTION	1972	10.1037/H0032863	147	91	isia1972m842500009	NULL	NULL	NULL	NULL	NULL	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY	17	22	22	0	0	0022-3514	J. PERS. SOC. PSYCHOL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	NOTREPORTED																																																																																																																																												
BOGG T	"CONSCIENTIOUSNESS, THE TRANSTHEORETICAL MODEL OF CHANGE, AND EXERCISE: A NEO-SOCIOANALYTIC INTEGRATION OF TRAIT AND SOCIAL-COGNITIVE FRAMEWORKS IN THE PREDICTION OF BEHAVIOR"	2008	10.1111/J.1467-6494.2008.00504.X	566	566	isi000257707600004	0	0	0	0	0	1981	2017	1	12	12	0.461507769597131	1.7121368489375	0	0	0.25	0.738095238095238	0	0	JOURNAL OF PERSONALITY	46	17	17	1	12	0022-3506	J. PERS.	AUG	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	INDIANA UNIV																																																																																																																																												
BOND CF	DISSONANCE AND THE PILL - AN INTERPERSONAL SIMULATION	1981	10.1177/014616728173005	97	96	isia1981ml24000004	0	0	0	0	0	1981	2017	1	1	1	0.0358542854348652	0.73598188615622	0	0	0	NULL	0	0	PERSONALITY AND SOCIAL PSYCHOLOGY BULLETIN	5	1	1	1	4	0146-1672	PERS. SOC. PSYCHOL. BULL.		"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	CONNECTICUT COLL																																																																																																																																												
BROWN KP;IANNELLI RJ;MARGANOFF DP	USE OF THE PERSONALITY ASSESSMENT INVENTORY IN FITNESS-FOR-DUTY EVALUATIONS OF PHYSICIANS	2017	10.1080/00223891.2016.1255950	371	371	isi000406136100004	0	0	0	0	0	1981	2017	1	1	1	0.656661515378881	0.79809630330664	0	0	0	0.7	0	0	JOURNAL OF PERSONALITY ASSESSMENT	20	1	1	0	0	0022-3891	J. PERS. ASSESS.	SEP-OCT	"PSYCHOLOGY, CLINICAL; PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	VANDERBILT UNIV																																																																																																																																												
BROWN M;SACCO DF	UNRESTRICTED SOCIOSEXUALITY PREDICTS PREFERENCES FOR EXTRAVERTED MALE FACES	2017	10.1016/J.PAID.2016.12.023	207	187	isi000393017200021	0	0	0	0	0	1981	2017	1	2	2	1.40201353094582	0.867721841502287	0	0	0.666666666666667	0.939393939393939	0	0	PERSONALITY AND INDIVIDUAL DIFFERENCES	33	11	11	0	0	0191-8869	PERS. INDIVID. DIFFER.	APR 1	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV SOUTHERN MISSISSIPPI																	4f6fa5123cf058f6100032ca	0191-8869	1	1		12283228	7.6047965017504	6501387	46	5713083	3866	14.644057438551	2158	43	1691	336042	12.035991977169	135593	58	197276	189	10.90629787234	74	60	115	Mitch Brown	Donald F. Sacco			article	14908391	1.5.4	FALSE	Psychology	Cognitive Science	era	era	4	2	4	1508539491	2.25	0	0	0	0	0	0	0	0	0	0	0	2.25	1482323229	1491004800	Psychology	Social Sciences	0	15	0	15	https://badges.altmetric.com/?size=64&score=3&types=ttttffgg	https://badges.altmetric.com/?size=100&score=3&types=ttttffgg	https://badges.altmetric.com/?size=180&score=3&types=ttttffgg	http://www.altmetric.com/details.php?citation_id=14908391																		1																						1																		
BURTAVERDE V;DE RAAD B;ZANFIRESCU AS	"AN EMIC-ETIC APPROACH TO PERSONALITY ASSESSMENT IN PREDICTING SOCIAL ADAPTATION, RISKY SOCIAL BEHAVIORS, STATUS STRIVING AND SOCIAL AFFIRMATION"	2018	10.1016/J.JRP.2018.08.003	515	515	isi000447104800012	0	0	0	0	0	1981	2017	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	JOURNAL OF RESEARCH IN PERSONALITY	66	0	0	3	5	0092-6566	J. RES. PERS.	OCT	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV BUCHAREST																																																																																																																																												
BUUNK AP;BLANTON H;SCHUURMAN MK;SIERO FW	ISSUE INVOLVEMENT AND LOW-VERSUS HIGH-POWER STYLE AS RELATED TO ATTITUDE CHANGE IN SEX-ROLE EGALITARIANISM	2005	10.1177/0261927X05281428	1424	482	isi000233383200005	0	0	0	0	0	1981	2017	1	1	1	0.0450358883926737	0.820127230729742	0	0	0	0.666666666666667	1	1	JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY	22	1	1	0	3	0261-927X	J. LANG. SOC. PSYCHOL.	DEC	"COMMUNICATION; LINGUISTICS; PSYCHOLOGY, SOCIAL"	COMMUNICATION; LINGUISTICS; PSYCHOLOGY	TEXAS AANDM UNIV;PENN STATE UNIV;UNIV GRONINGEN																																																																																																																																												
CAMPBELL R;VANSTEENKISTE M;DELESIE LM;MARIMAN AN;SOENENS B;TOBBACK E;VAN DER KAAP DEEDER J;VOGELAERS DP	EXAMINING THE ROLE OF PSYCHOLOGICAL NEED SATISFACTION IN SLEEP: A SELF-DETERMINATION THEORY PERSPECTIVE	2015	10.1016/J.PAID.2015.01.003	245	215	isi000350181900034	0	0	0	0	0	1981	2017	1	4	4	0.741139166862595	0.960139226636002	0	0	0.6	0.870967741935484	1	0	PERSONALITY AND INDIVIDUAL DIFFERENCES	32	22	23	1	54	0191-8869	PERS. INDIVID. DIFFER.	APR	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV GHENT																	4f6fa5123cf058f6100032ca	0191-8869				12283003	7.6048018409347	9811478	11	1397129	3866	14.644057438551	3106	11	443	268110	8.3018566403962	183178	18	49779	96	21.5188	76	4	4	Rachel Campbell	Maarten Vansteenkiste	Liesbeth M. Delesie	An N. Mariman	article	3222886	1.5.4	FALSE	Psychology	Cognitive Science	era	era	1	1	1	1422784569	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	1422784617	1427846400	Psychology	Social Sciences	0	98	0	98	https://badges.altmetric.com/?size=64&score=1&types=tttttttt	https://badges.altmetric.com/?size=100&score=1&types=tttttttt	https://badges.altmetric.com/?size=180&score=1&types=tttttttt	http://www.altmetric.com/details.php?citation_id=3222886				http://linkinghub.elsevier.com/retrieve/pii/S0191886915000057	Bart Soenens										Els Tobback	Jolene Van der Kaap-Deeder	Dirk P. Vogelaers								1																1854/LU-5845635	1854/LU-5845635																
CAPRARA GV;ALESSANDRI G;COLAIACO F;ZUFFIANO A	DISPOSITIONAL BASES OF SELF-SERVING POSITIVE EVALUATIONS	2013	10.1016/J.PAID.2013.07.465	190	190	isi000324156000026	0	0	0	0	0	1981	2017	1	4	4	0.420154537603922	0.95996956496578	0	0	0.333333333333333	0.666666666666667	0	0	PERSONALITY AND INDIVIDUAL DIFFERENCES	19	9	9	0	5	0191-8869	PERS. INDIVID. DIFFER.	OCT	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV ROMA LA SAPIENZA																																																																																																																																												
CAPRARA GV;FIDA R;VECCHIONE M;TRAMONTANO C;BARBARANELLI C	ASSESSING CIVIC MORAL DISENGAGEMENT: DIMENSIONALITY AND CONSTRUCT VALIDITY	2009	10.1016/J.PAID.2009.04.027	2395	2395	isi000267842200021	0	0	0	0	0	1981	2017	1	23	23	1.03338656223391	0.897638141876832	0	0	0.258064516129032	0.464285714285714	0	0	PERSONALITY AND INDIVIDUAL DIFFERENCES	30	43	52	3	30	0191-8869	PERS. INDIVID. DIFFER.	OCT	"PSYCHOLOGY, SOCIAL"	PSYCHOLOGY	UNIV ROMA LA SAPIENZA																																																																																																																																												
